,name,type,meet_count,meet_ratio,total_count,meet_codes
200,大飞机,concept,30,0.244,123,"688239,300900,002560,301306,300733,688510,000571,600990,002023,002413,300797,601727,300719,300337,002465,002967,688523,836247,688562,000420,002373,603809,000801,600839,600850,002049,688777,688326,603308,871642"
201,创投,concept,98,0.251,390,"300378,600633,603496,600900,002213,300238,000532,002575,002734,600283,832023,002451,300663,000566,300016,300311,600133,600739,600783,600825,300240,600235,601801,600120,600770,000931,002407,300485,000676,000793,002555,002666,300157,300645,600979,002183,002208,002571,300074,300248,300304,600100,600387,601555,300443,002063,002101,600266,000607,600624,600658,002194,300002,300148,300448,300975,002558,600106,002243,002932,300925,603000,002867,300881,603189,002079,002036,002400,600730,300687,300846,000851,300207,300199,600571,000062,300145,300035,300533,603219,002698,300710,002122,300634,300494,603095,430198,688218,603888,000636,300688,300456,300418,002965,688601,688777,603596,603019"
202,电子商务,concept,99,0.162,613,"301382,300888,300290,300937,605299,002657,600570,300753,002575,300869,002441,002098,002298,301408,600696,000158,002692,300981,600298,688229,300016,003030,839371,002166,301166,000972,002950,300052,600120,600770,688179,600186,603280,002094,002397,002183,002695,300043,300873,301332,300067,002153,002570,300975,002238,300242,300247,600640,603613,000062,000785,600811,002572,300703,002095,002867,300616,300226,300654,834415,601811,300184,002005,002705,002903,300531,300459,000851,000503,002398,002410,603529,301262,002291,605089,600588,300805,870199,688365,688080,605179,300042,300418,603615,601858,600839,000997,000564,300945,300608,600761,838227,688777,601689,300792,301071,689009,600153,601116"
203,移动支付,concept,35,0.417,84,"002197,300047,300096,300773,837748,002396,002647,300663,002049,300168,600271,300645,300807,301380,832171,002657,002095,301117,600728,002268,300079,002138,600100,300248,600476,002010,002153,600571,300531,002156,300730,600588,301153,300479,000997"
204,风电,concept,50,0.152,329,"002441,300935,688239,600580,002451,300830,603090,002692,002941,831689,000533,834682,300600,600458,873169,301163,832885,002358,300183,600821,002483,002953,600578,600758,603699,601608,600010,688450,601727,000958,000420,002545,002654,300443,830879,603985,603270,000099,002122,002164,000595,301390,002085,001266,301160,300904,301456,300068,300690,605305"
205,固废处理,concept,18,0.131,137,"300837,301500,300055,001360,300237,000838,301259,688178,601727,600133,300145,300515,002674,300056,002483,603280,002761,600330"
206,光热发电,concept,4,0.114,35,"600207,300881,301046,603126"
207,污水处理,concept,35,0.167,210,"300203,300801,300169,301027,600283,301259,000504,603200,688096,000532,300082,002761,600979,688057,002717,002483,300067,300055,300334,002374,300237,688178,688296,300145,600133,000838,600187,688350,300056,000851,688448,000925,002698,002125,600846"
208,物联网,concept,147,0.356,413,"872374,688100,301337,002609,002849,300679,002396,300515,002298,603636,603660,000938,002441,603893,001299,872953,600037,001339,301218,603700,300768,002313,002953,300352,603280,688509,603496,835508,300203,301382,300807,600100,603933,831856,600271,603869,002191,002639,300166,300476,002465,003029,603613,830879,600355,688051,688139,603189,002957,600996,688296,002835,300002,300448,000056,000909,300682,601728,002960,300480,603206,688512,002123,300608,300710,688475,600839,300916,002079,002093,002138,002212,000801,000851,003005,300250,300730,832876,000997,300603,832149,002236,300136,600850,002777,300789,603160,688450,301172,300184,300451,300880,002410,002421,300531,002439,300322,002156,300456,688023,300698,301213,001266,688060,831832,688316,688489,002049,300895,300223,003007,603042,300454,688288,688159,300212,688499,002771,300643,688387,002373,688609,300782,301578,300458,688521,688049,603083,688618,300590,688080,688653,300678,300607,300366,300523,300645,300248,600879,000156,002649,300183,603030,002925,832651,300513,300663"
209,稀土永磁,concept,15,0.254,59,"002167,600330,600392,600549,600111,002056,600988,836961,300835,000758,600173,600010,300797,836807,301141"
210,超超临界发电,concept,4,0.052,77,"300830,601727,600578,300881"
211,噪声防治,concept,5,0.278,18,"300169,600458,603098,300284,300473"
212,露营经济,concept,4,0.074,54,"300169,002707,300978,300916"
213,肝炎概念,concept,18,0.148,122,"688289,603139,600535,002923,301130,301207,600056,688317,300485,300404,600812,837344,600624,000766,300199,688298,300009,002932"
214,统一大市场,concept,17,0.159,107,"603967,002401,300873,600622,600662,601216,300975,600704,002183,002010,002095,688648,300532,000564,600603,603117,300240"
215,MicroLED概念,concept,7,0.146,48,"688167,300940,002845,300400,688001,002236,688559"
216,毛发医疗,concept,1,0.053,19,603139
217,华为欧拉,concept,26,0.605,43,"688509,301178,300366,300645,688118,300166,300369,300047,002398,603189,002439,300036,300608,600536,300687,688039,300290,688435,300663,300379,600839,300872,688327,688058,688152,688316"
218,家庭医生,concept,12,0.5,24,"301017,002777,300168,300030,300074,300451,300096,000503,300253,300730,601318,002230"
219,华为鲲鹏,concept,97,0.602,161,"300541,301382,300290,300588,002232,688229,300378,002253,002912,603496,002657,600570,300245,002530,603383,603636,688435,000158,300520,300663,300830,002777,300271,300311,300768,002649,300168,300379,300352,300366,300645,002183,002331,300248,002401,300451,688004,002398,002421,300096,300448,301185,688118,002063,300166,300369,300605,300047,003029,300253,300925,688051,603189,002268,600728,002212,300682,688590,300532,002439,300036,300659,002279,600536,300687,301378,300250,300730,000066,300188,600588,688244,603138,300479,300634,000997,300996,002236,600850,300872,835207,300212,688058,603171,300383,300678,688152,831832,688316,688489,688228,688777,839493,688031,837092,301085,688343"
220,数据要素,concept,159,0.489,325,"300935,839790,300541,300766,301208,301382,603602,301337,603729,300588,688227,301091,002609,002232,872953,688229,832171,688217,002253,002912,600633,688369,600570,300245,002354,300341,600941,002530,000938,300552,301027,603466,835184,002298,002413,603636,688066,688435,301159,300520,300663,300830,603090,002777,301270,301370,300173,300271,301172,301218,300662,300675,831039,002649,300168,300379,002229,300030,600271,002322,301178,688509,300170,300366,688118,002063,300166,300605,300248,300807,600100,600476,688562,688568,002401,600229,301102,002197,300047,300133,300451,688004,000503,002410,300096,300448,300773,603613,830879,002967,300253,300925,688296,002095,600718,688051,688109,300226,688579,002093,002268,600728,873806,301052,002373,300682,603888,300531,002439,300036,002279,002123,002400,300608,300846,000801,003005,301378,300730,688651,002291,300188,000925,301153,688244,603138,601858,002122,300634,839680,000997,300996,688158,301139,002236,600850,688207,002405,003007,688288,688159,300872,835207,300212,000681,688058,301390,603171,300678,835305,301169,688023,300698,688225,300895,688228,688777,688631,688031"
221,烟草,concept,9,0.237,38,"301220,300541,600235,300195,871553,002191,300125,300678,301169"
222,MLOps概念,concept,9,0.5,18,"002232,300520,300168,300366,300369,300166,688207,300383,688031"
223,电力物联网,concept,22,0.297,74,"300341,300513,603893,300184,300139,300880,300002,300448,600131,839790,688100,688391,688259,301390,300895,300183,002322,300366,688171,300515,002298,300830"
224,ERP概念,concept,16,0.615,26,"002232,300378,688369,002530,838030,300195,300996,600845,688365,603280,300170,300807,002398,603613,300687,600588"
225,DRG/DIP,concept,15,0.682,22,"300730,300290,600756,002777,301370,300271,300168,300074,300451,300096,000503,300253,600718,301117,688579"
226,超导概念,concept,2,0.1,20,"600363,600595"
227,6G概念,concept,18,0.286,63,"600941,002413,300184,002465,831961,002093,002138,688387,601728,300322,300456,300608,603186,300634,300136,003007,603220,003031"
228,时空大数据,concept,29,0.492,59,"300588,301091,300168,301178,688509,300523,600476,688568,300166,300047,002465,300989,301017,835184,688066,002298,603660,301172,301218,000925,300603,002405,301390,002771,301169,300042,002373,300036,300456"
229,毫米波雷达,concept,28,0.286,98,"002036,002373,600990,002413,301488,002475,002194,300975,300978,300322,002156,603186,688208,688326,002920,002456,300710,600839,002243,831961,688682,872374,002236,300136,300852,002815,688522,837242"
230,碳交易,concept,7,0.113,62,"600570,300830,688051,600039,301390,603126,300366"
231,传感器,concept,63,0.328,192,"688090,301361,301388,872374,300484,600523,300552,002298,688685,603160,688450,301218,603700,603052,300523,300304,002097,002654,603158,300184,300632,300880,430556,830879,688051,831641,002079,002138,832145,300643,002960,300480,000636,300322,002156,300456,002456,003005,600081,300433,688728,832978,600839,688135,002236,688061,600460,002815,688172,688213,688458,301213,603197,001266,603666,300473,301488,603005,688777,688312,688582,688208,002920"
232,光刻胶,concept,16,0.246,65,"300801,300346,300797,300576,688179,300758,688549,002324,300655,300398,300456,688195,688056,300236,688378,603005"
233,农机,concept,9,0.138,65,"003033,600615,002420,603090,301032,002448,000338,001696,001266"
234,仿制药一致性评价,concept,11,0.107,103,"301281,300016,600056,600535,002923,688247,832735,300199,600812,300267,600624"
235,无线充电,concept,17,0.34,50,"002298,600552,600330,603158,688612,688458,002138,002036,002056,300322,300207,300136,300461,300684,301360,688484,688218"
236,安防,concept,58,0.367,158,"001339,001229,301172,301218,300768,300168,300588,002253,301567,603373,002808,603660,002777,002401,002654,002063,833030,002632,002835,300448,600654,600990,002298,300352,301178,000801,301117,603189,600728,300014,002036,002373,003029,300603,300460,832149,002236,300136,300790,430198,300678,300223,688343,838924,300212,301390,688213,003005,832876,300188,688039,300479,000997,300523,002331,300074,600100,600476"
237,网络安全,concept,93,0.531,175,"301380,001339,300290,300588,002232,688651,000066,300188,600588,688244,832171,002253,002912,688030,603496,000938,300168,300379,300195,600271,300052,300352,301178,300663,002777,300173,301172,301218,300311,300768,002649,300170,300523,688171,300248,600100,300479,300634,300603,688168,002236,002544,002279,600536,000851,300250,300730,002396,002298,603636,000158,002808,300520,688562,300369,600654,003029,688132,002967,600718,301117,002268,870976,002212,300079,600776,002197,300047,300466,002835,300002,688387,688201,002439,300659,600850,838924,300454,835207,688327,300212,002819,300678,688023,688152,688060,688316,688489,688225,300895,688777,300921,603019"
238,消费电子概念,concept,100,0.305,328,"301387,001339,300776,603160,603327,603330,300173,301321,002213,301439,688167,600100,002097,002654,600152,000536,300134,002845,002079,301503,688097,300337,300975,605218,688386,300207,301141,832876,300433,688728,833509,002903,300531,301051,000909,002106,002957,603893,300679,301329,002298,835438,002708,603890,301567,300835,873223,300438,688173,301360,003031,300661,301512,688213,300647,430425,688312,688260,688772,002456,002036,300400,688323,002632,002824,300184,301086,872190,301578,001283,838701,300136,301338,600460,871857,688049,837212,301312,688484,688458,873726,300042,002230,600839,300916,688391,688001,605588,300940,603052,600552,300461,300684,870357,830779,002475,603005,688601,300322,003015"
239,氢能源,concept,51,0.157,324,"300816,600262,300586,601727,002448,831010,002639,300237,688350,300257,300293,688069,688386,300435,002254,300157,603699,301170,600578,600458,830832,603158,839719,300568,603273,600081,603270,002158,835985,688548,300745,688499,300473,300990,688778,300881,688269,300068,833751,001696,300489,600580,300801,300733,000338,300014,600111,002056,300457,601965,002418"
240,预制菜,concept,13,0.124,105,"002695,002717,000785,600811,601116,000702,300999,600650,003030,839371,002086,605089,002995"
241,沪股通,concept,252,0.195,1292,"688617,688111,603444,688050,688297,688543,603031,600363,688185,688239,688289,600580,603786,688100,600298,605507,688082,600633,603191,600900,688567,600037,603707,603093,600535,600570,603612,600861,603075,600301,600990,600523,600779,601116,688029,601606,603383,688167,603893,600846,600056,603496,600184,603308,600422,603466,603833,600141,600458,603636,688066,688552,600380,601069,600941,603718,688247,600178,603160,603327,603799,688776,601166,601727,603357,600133,600186,600739,600783,600879,600821,600120,600271,601801,601878,600552,600758,600770,603303,603699,688222,600578,601601,603301,600330,600392,600100,600151,600383,600516,600649,601555,600030,603135,688562,688568,600229,600662,600812,601886,603010,600266,600658,601066,601608,600409,601216,601688,601965,688097,688707,600010,600704,600880,600959,603098,600595,600640,600782,600654,600996,601155,603000,601108,601162,603985,688139,600207,600497,600728,603613,600106,600346,600776,600131,600571,603225,603888,601789,603809,688432,688596,603206,601696,600761,601811,600111,600153,600549,688387,688772,600536,600733,688549,688778,600596,600718,688548,688128,600986,603108,601318,688409,603277,603929,600340,600988,601728,601939,688609,603529,605016,688352,603103,603219,600081,603355,688403,600811,688298,688206,600088,600588,688728,600589,600460,601336,688270,688001,600850,600845,605305,688048,603298,688172,688327,688146,603220,688522,688372,688114,688213,603171,603290,688484,688653,688612,688523,688690,600039,600060,688392,603039,688361,688225,603379,688777,688153,688083,688582,688631,688535,688031,688208,688183,688521,603005,688261,688559,688601,688486,603083,688041,603019,688008,688017,688343,688047,688515,601689,688508,603596,688234,688378,603197,688205,688533,688173,688475,601858,600839,600605"
242,柔性直流输电,concept,5,0.106,47,"002560,688334,300713,300623,002358"
243,汽车热管理,concept,30,0.28,107,"301181,600523,603075,300520,300237,603158,002824,002418,300337,300375,002666,600151,603088,000622,002420,688128,600081,301238,000887,300322,832978,688288,002050,300684,300473,002965,601689,301086,301252,688326"
244,高压快充,concept,23,0.28,82,"002364,300484,688567,300745,301439,300001,300713,002358,002953,300807,300880,300035,002927,301349,301310,688612,688261,300623,688208,301238,000636,300530,300207"
245,EDR概念,concept,7,0.368,19,"300188,688288,300458,002232,300807,002212,600081"
246,新股与次新股,concept,11,0.108,102,"835438,873706,870656,873690,873806,688584,837023,301578,688691,301567,603325"
247,新型烟草(电子烟),concept,19,0.345,55,"002923,002925,300679,300457,300014,300125,300207,300433,300438,300916,300461,301312,300678,001283,002183,600152,002191,002957,300134"
248,数据安全,concept,96,0.615,156,"300302,301380,001339,300541,300766,301382,300588,872953,688229,002912,688030,603496,300081,000938,002298,603636,688435,000158,002808,301159,300663,002777,300352,300170,300366,688171,600476,300271,301218,300311,300768,002649,300379,300344,688118,300166,300369,300605,002197,300466,688004,002398,002835,300002,301185,003029,002967,603000,600718,688051,301117,002268,603888,688201,300531,002439,300659,300608,600536,300846,003005,300250,300730,688651,000066,870976,002212,300079,600571,300188,688244,603138,839680,688158,688168,002819,300678,301169,688023,688152,688489,688225,300895,688228,688031,837092,600850,002405,300454,300872,835207,300212,688058,300921,603019,688008"
249,虚拟数字人,concept,54,0.415,130,"300559,603466,002712,300663,300766,300113,000156,300168,002229,300264,300052,300170,002717,300248,002607,600880,600640,603613,300027,300253,603189,688579,300251,300987,600728,688039,000925,300634,600088,600850,002657,300081,002354,600941,002530,688327,300612,300042,002230,300846,600986,002291,300578,688228,002995,002063,300166,300133,002624,300148,603888,300291,300688,300608"
250,汽车芯片,concept,43,0.387,111,"002213,603893,002023,603160,600770,300304,300184,300458,688521,688486,688047,603290,688484,301099,688458,300042,002049,301488,300373,603005,688601,430139,688153,688508,002405,300656,600460,688048,300661,688213,688515,301117,002079,002268,833509,688173,688135,301338,300223,300623,600733,000851,688711"
251,知识产权保护,concept,19,0.373,51,"002712,301270,300183,600880,000607,603000,300079,600831,300133,603888,300688,601811,300459,300188,601858,000681,300042,831832,688228"
252,机器人概念,concept,199,0.279,712,"301302,689009,002530,000938,002441,002396,300515,300552,603496,688155,835508,002657,300081,600081,688711,603270,300134,300616,600355,600520,600718,002705,002903,300531,300400,688590,872541,002960,300188,603277,300433,600588,836414,688109,000887,002845,300455,600776,873806,002036,300532,300852,301186,600728,000925,603219,300136,600850,688207,300790,834475,002815,600845,603809,002279,600839,688255,300916,300607,002230,688777,601689,430425,688508,688290,300223,301046,600730,002456,300459,002698,688475,300479,002050,688327,870199,688114,688152,603666,688162,831832,301213,603197,873726,001266,300460,603095,832149,002236,688061,688582,873593,688049,301578,688208,300458,837092,002965,301488,833346,688515,688017,688084,688343,688047,301512,688499,002819,301310,301312,300678,688218,600580,001339,002917,300378,301163,688638,002708,301567,688090,301380,002031,002892,300195,300264,300412,300168,601801,603030,603901,688251,002213,300753,301439,300245,300825,600843,603966,688215,601727,002448,002957,002967,300789,300293,300823,688459,000584,002354,002925,300513,002451,002933,300520,300663,872374,300290,301337,002063,002406,601608,002358,688078,688450,300472,603893,300002,300729,300975,600503,300873,301503,601965,688097,002421,002526,002465,300773,002313,002953,603280,300157,002691,300248,301332,600100,600476,603135,688768,300766,603933,002097,002654,000158,002197,300047,300466,300632"
253,煤化工概念,concept,8,0.077,104,"600722,300055,603090,300435,600346,000912,600409,601216"
254,自由贸易港,concept,4,0.118,34,"603967,002401,603117,600650"
255,智能家居,concept,53,0.245,216,"605218,603038,301439,002925,300513,600615,603893,002396,603833,000156,300183,603030,002892,002313,832110,300352,002397,300074,301332,600100,603933,002654,300184,600831,300729,300247,300616,002845,870976,600996,002036,000785,002960,002705,002456,000801,300207,300250,300433,603219,688475,600839,300916,832149,002236,837212,688653,600060,002230,833346,301578,300458,603083"
256,长三角一体化,concept,23,0.187,123,"300245,300346,603966,603799,605055,600235,603030,002468,002061,300170,600330,002208,001256,300067,603122,000607,002324,603225,605089,600460,300461,605179,603005"
257,富士康概念,concept,19,0.247,77,"300567,300400,002903,300684,301360,836720,301512,603929,873223,301338,301086,300476,300632,300337,600207,002845,300378,603890,688559"
258,数字乡村,concept,34,0.436,78,"839790,300081,300663,300520,002777,300168,002649,301178,300366,300807,300248,300513,835184,603636,002298,600476,300605,300166,600831,600996,603189,600811,002279,300250,300730,301262,301153,688158,000997,300603,301139,600850,301169,300612"
259,禽流感,concept,7,0.241,29,"002932,300147,688298,002166,603739,300119,688317"
260,宁德时代概念,concept,65,0.273,238,"832522,002518,836961,300750,688386,300567,688638,002091,002709,839719,002824,300568,688097,603799,300173,300655,600549,830809,300343,002125,002441,300409,300825,603052,688184,002957,301238,688778,603088,002010,002805,002101,002145,000887,300457,300532,300919,688353,688155,301181,300082,002965,688559,300990,688777,301255,300953,688392,300890,002529,301210,300035,300769,833284,300073,836720,688499,301310,300607,603298,301360,688707,300337,300375,300975"
261,MR(混合现实),concept,23,0.359,64,"301302,300567,300081,002354,688167,603466,688066,688450,300264,002717,688097,430090,300616,603189,600728,002036,300036,300459,002456,300684,301360,301312,002475"
262,英伟达概念,concept,22,0.361,61,"300036,688039,300454,000977,688486,002920,000938,002229,300825,300315,689009,001339,300541,300113,300476,300067,603985,300251,002036,300698,688316,300373"
263,脑机接口,concept,8,0.381,21,"300753,002925,002243,300459,301293,688158,002819,300678"
264,同花顺中特估100,concept,14,0.14,100,"600900,600941,002302,601601,600030,601608,601066,000498,600039,601728,601939,601318,601858,603019"
265,液冷服务器,concept,22,0.314,70,"600271,002313,600100,002418,002518,000938,002965,002475,300990,000066,688158,600850,301086,000977,301252,603019,300684,002771,300383,000887,300145,300322"
266,太赫兹,concept,10,0.417,24,"300203,600990,002023,002413,600879,600100,002465,831961,300322,300456"
267,猴痘概念,concept,21,0.276,76,"301087,000566,300642,301166,603108,300199,688298,688185,688289,603122,002086,002932,600056,600380,688317,688179,300289,301060,301130,002923,301246"
268,粮食概念,concept,5,0.125,40,"831087,600354,600186,301301,600811"
269,存储芯片,concept,31,0.36,86,"300302,300567,301306,002213,300346,688167,300047,300184,300975,300455,002049,688691,430139,300223,688478,300659,002156,832149,002236,300236,002819,301099,300042,688535,300458,688416,688008,002413,002183,603933,002654"
270,农村电商,concept,4,0.108,37,"600831,603613,000564,300212"
271,广东自贸区,concept,5,0.2,25,"301500,000833,002420,002845,002291"
272,互联网保险,concept,7,0.368,19,"600100,300242,300253,688590,000851,601318,601336"
273,地下管网,concept,17,0.2,85,"002062,688450,301172,603357,603700,300036,603815,002398,688296,833427,300210,832225,688509,600979,600283,301027,002694"
274,PPP概念,concept,41,0.225,182,"002062,300203,600846,002298,300001,603636,002674,002941,300334,002586,600133,300055,300030,603815,688509,002061,002761,002717,002374,000498,300010,300237,300067,300649,600831,000868,002421,600187,600106,300210,300284,600039,300536,002373,600340,300145,601789,002307,002236,300056,300212"
275,体育产业,concept,16,0.17,94,"002899,600633,605299,002694,002229,002858,300472,300043,300703,002400,688207,300612,002639,300247,002659,603000"
276,玉米,concept,5,0.192,26,"600354,831087,600371,002539,600596"
277,金属铜,concept,13,0.197,66,"301500,300409,002295,000762,000758,600173,834033,600153,600988,000426,603799,300618,838030"
278,金属锌,concept,9,0.273,33,"301500,600301,871634,000603,000758,600173,600497,002716,000426"
279,医药电商,concept,10,0.13,77,"600056,301408,300147,301331,300267,300534,301087,600535,301017,300937"
280,电子竞技,concept,18,0.545,33,"300113,600633,002354,300052,002555,002539,300043,301503,600880,002624,002558,300027,002174,600986,300710,300494,837212,872190"
281,腾讯概念,concept,72,0.371,194,"300645,002717,300043,688111,301302,301380,300541,301382,300206,300559,000158,600380,600271,688222,000676,002094,300170,300523,002712,301270,300271,002649,688100,300113,300550,301091,688229,002354,300467,000498,300369,301102,601066,300036,300291,002400,300459,600986,002439,002197,300047,300184,600831,002398,300027,300925,002174,301378,300188,688039,300494,002236,000681,300096,600880,002238,002558,002659,300773,603189,002268,002212,603019,300959,002995,300792,688521,301085,300921,603039,301169,300612"
282,数字货币,concept,34,0.415,82,"600570,002396,300663,002647,002649,600271,300352,688521,300645,000676,300248,600476,301153,300479,000997,300872,002049,300166,002197,300047,688201,300531,002439,002123,300730,300188,300773,003029,002268,300079,688590,300541,301208,002657"
283,智能物流,concept,41,0.272,151,"300484,688215,002010,002401,300873,603967,300616,688648,000338,601801,688251,002031,002468,300412,600271,600761,300170,600330,002183,002331,300807,300520,301370,300240,688097,002526,300729,300975,688618,300590,833346,000785,300531,300532,000056,002957,002698,002236,603298,300466,301503"
284,青蒿素,concept,2,0.2,10,"002923,600422"
285,中船系,concept,1,0.091,11,688146
286,虚拟现实,concept,104,0.384,271,"301302,600363,300567,300113,605218,002232,002917,002253,301567,300081,002354,002925,300513,300343,688167,603893,603466,002858,603660,603160,301321,000045,000156,300379,300264,002322,300052,301178,000676,002555,002717,300248,300315,600229,300166,300476,300719,300845,002632,002624,300148,301185,430090,600880,002465,002558,600640,603377,603488,002957,300027,300290,300134,300616,002174,002845,603189,688579,002079,300251,300299,300207,300250,002291,300578,300433,688039,002456,300459,003005,300136,688207,300790,300684,835207,002036,002572,688609,603103,600839,300634,839680,300494,002236,300036,300322,002919,605289,000681,301512,835670,002771,002819,301312,301213,300418,002475,603005,688228,301086,002995,300458,688326,688521"
287,智能交通,concept,82,0.434,189,"839790,001339,300766,300928,002253,300572,837748,301382,001229,603602,300588,301091,002609,002232,002413,000158,603660,300830,300768,300168,600990,000938,300552,301027,002298,301172,301218,601727,603357,002331,300074,300248,300807,600386,002401,300369,300047,000868,300448,600271,301178,300366,600718,300284,301117,600728,873806,002373,300036,834415,002279,603220,430198,002819,688618,300590,835305,603206,300608,003005,300730,000925,000997,300603,301139,832149,002236,688582,688631,837092,688326,688343,600850,688207,002405,300684,688327,300212,600654,000909,002465,003029"
288,互联网医疗,concept,43,0.328,131,"839790,300595,300290,300937,301337,300550,600633,600570,300341,300298,300869,301017,300206,603660,300520,002777,000566,301087,301218,300016,300168,300030,300074,300047,300451,000503,002421,300096,002558,300253,603000,600718,301117,688579,300199,300730,603108,000066,600588,300479,688114,300698,002230"
289,深股通,concept,318,0.232,1371,"001339,300900,300766,300776,301205,300302,002518,301091,002609,002232,002062,002901,000538,300910,300595,301439,301500,300378,000029,002244,300346,301207,002354,002925,000893,300750,301382,300888,300298,300343,300869,301017,000938,002023,002254,300409,300679,300203,300290,300567,300113,002657,002396,300073,300119,002941,300048,300576,301370,000559,000566,002166,002311,301408,000158,000712,300206,300552,000700,000815,002031,002250,002555,002258,002302,000758,002091,002183,002208,002539,002125,002441,300981,002287,300999,000603,002010,002097,002153,002777,002407,002483,002950,002440,300271,300618,300435,301332,300702,301246,000156,000762,000833,300010,300166,300267,300369,300821,000498,000536,002882,300443,002401,002545,002607,002654,002061,002191,002639,002709,300304,300315,300476,002063,002101,002145,000503,000868,002194,002673,002824,000420,300729,300975,301051,002410,002421,300257,300773,002074,002167,002649,002939,300047,300067,300133,300184,300451,300568,002624,002707,300002,300009,300337,002932,002957,002967,300768,301177,002867,300134,300210,002845,300226,300284,300455,000338,002138,002212,300520,300663,002106,002243,000739,002761,002036,002056,000062,000785,000766,300682,300747,002960,300145,002705,300480,300532,300919,300978,002079,002093,002268,002324,300251,300457,300655,000636,000912,002439,300036,300291,300014,300079,300398,002307,300687,002716,002456,300459,002123,002400,300199,002158,002373,002460,002572,300035,300188,300433,002122,300411,300634,000997,300068,300136,300790,002405,001311,300494,300725,000595,002050,300684,300872,300373,002475,003031,300724,001696,300661,002819,002085,000977,301095,300792,300212,000681,300846,000801,300207,300762,000426,002815,300454,300236,300990,002965,301488,300322,300688,002156,000887,002174,300042,300418,002230,002049,300223,300623,300953,300590,300383,300678,300607,300171,301262,002291,000066,000099,300769,300604,300782,300458,301071,301085,002236,002544,002703,300456,000564,002279,002920,300438,301153,301293,002698,300168,300183,300379,002675,002892,002322,301087,000045,000958,002413,300001,300755,300352,301301,000676,002229,002468,300341,300586,002530,002238,002465,002558,300027,300253,300293,300925,301238,300170,300366,300523,300825"
290,量子科技,concept,26,0.351,74,"600120,300352,600624,003029,600990,603660,300520,603703,603357,600879,300768,002212,600131,688201,000066,688195,688609,002819,688489,002230,300895,603019,002967,301117,688579,002268"
291,小金属概念,concept,31,0.226,137,"301500,600301,002125,300409,603799,300618,600330,600392,000758,000622,600622,000762,002167,002225,601069,002560,300073,600704,000603,002716,834033,600111,600549,002056,002460,300919,000636,000426,301210,600497,300068"
292,家用电器,concept,20,0.14,143,"600580,002953,831167,831641,603355,301332,002420,603219,600839,002295,603703,002050,870199,600060,603075,002759,002005,002705,833346,301578"
293,文化传媒概念,concept,77,0.399,193,"301380,300113,603729,600037,000676,000793,002555,002717,300315,300528,600386,002654,002279,002400,300426,601811,301102,601599,300133,300959,600831,688004,000607,002624,300148,600880,300459,600986,000851,833075,301262,300703,603888,300291,300299,300987,300079,301052,002291,688039,603103,300710,601858,002122,300494,300603,600088,000681,300134,300654,300251,300043,600229,600959,002238,300242,600640,300027,600996,603000,838030,002586,600825,000156,601801,300264,000603,600633,300081,002354,300612,688228,002995,300467,002396,603466,002712"
294,充电桩,concept,80,0.253,316,"834682,300572,300745,000533,002609,002232,002518,002364,837748,301439,000158,002692,002451,300830,300713,601727,838030,002560,603602,688100,688334,002298,300001,300183,300807,600386,002010,002074,002358,002313,002953,300825,600330,600979,002183,300074,002063,002197,002441,002023,000909,430556,300682,300632,300880,688097,300615,300684,001266,603666,688060,831832,603220,301390,002771,301310,688612,688208,300438,600355,000887,603206,600733,300530,002965,301488,300373,833346,688261,688508,300623,688711,300433,002373,300916,002927,301139,688391,832149,002236"
295,锂电池概念,concept,138,0.296,466,"301361,836961,300750,832522,603031,688239,300073,300928,688567,000695,603612,002213,300801,002254,002759,002849,300409,300567,688638,300484,300505,833284,688299,001223,300520,603090,688155,603799,300173,300618,603052,300195,600552,002407,300169,300082,300586,603727,300343,002125,002734,600387,600516,603088,000622,002097,300647,600330,601727,002091,002539,002709,301246,000532,688560,839719,002632,300713,000868,002418,603010,002145,300267,300134,600596,600039,300919,000636,002420,002805,002882,600152,600346,688184,688353,300890,603186,688772,000066,300035,300769,833523,688778,837174,000584,300568,300632,688097,688707,001283,002243,002957,301238,688128,300207,300530,301210,301186,300056,688146,830779,300655,603978,300014,600549,300438,873152,688173,002056,830809,002460,688345,603220,301349,300724,831627,001696,301512,688499,301338,835185,688559,603379,301086,300953,603276,002324,300457,600839,300068,002085,688484,835237,000762,000833,002074,002167,301292"
296,卫星导航,concept,60,0.319,188,"688682,301302,300900,301306,002232,688776,873576,300629,301218,600879,300366,002183,300807,600476,688562,002313,688509,688568,002465,600990,002413,688066,603703,300455,301117,831961,002268,300036,300322,603809,002544,603206,002212,688387,300460,002236,300136,002405,688270,003007,300782,001266,688225,688228,688691,688153,688522,300590,301213,002967,688459,688523,300608,000801,300762,688651,000066,000099,600839,688135"
297,中字头股票,concept,23,0.168,137,"600941,688297,600056,688119,601608,601965,300374,688648,601728,600536,688128,000066,000099,601858,600088,688146,003031,603126,300678,603019,000758,688568,002401"
298,智能医疗,concept,64,0.418,153,"001339,300290,301337,300816,002912,300206,002777,301172,301218,300016,300168,300341,300298,301017,300289,300074,300404,301060,300267,300451,603122,300030,688222,301178,301301,002932,300253,600996,688273,600718,688139,300149,603108,300578,600588,688609,301293,002698,600839,300634,688158,000503,002421,300096,300448,300247,301117,688329,688579,002093,300531,300608,301235,300199,300730,300678,835305,300698,002230,600850,835892,835207,835670,002771"
