,name,type,meet_count,meet_ratio,total_count,meet_codes
39,融资融券,concept,928,0.254,3657,"300990,603379,688777,000503,000607,832110,603602,300629,688143,872374,688100,688297,832522,301205,688090,600363,301380,688185,688239,300750,301382,688768,000893,301208,300113,300484,000533,002062,300505,688227,300900,836961,002901,301091,831087,688289,300910,603786,688386,300937,300967,600354,688293,300776,301388,831689,301163,688638,300290,300567,873169,301193,301337,002560,300073,300928,430476,600298,603373,002354,002925,301259,300203,301122,301130,600184,600756,603308,301306,603191,833284,300081,301181,301290,832023,835438,836547,836957,002941,300048,300576,002530,002575,300298,300343,688229,832171,300378,688510,688776,872953,300907,831195,600422,603466,603833,600458,600696,600535,600900,837748,600941,603075,688231,688299,002232,301108,600633,603496,688155,833455,835508,002298,002413,603890,688369,837592,300245,300346,301207,301429,688196,688217,688567,301159,301027,301329,600056,301439,301500,600523,600779,603727,603660,603718,688096,688113,688317,601116,688029,002244,002396,832885,688247,300745,301567,600570,603612,688625,000538,600846,002258,002302,002451,688685,836263,836942,603636,688066,688435,688552,601069,300981,688082,873576,830832,000158,000712,603325,871642,832651,300082,300586,301281,688215,688334,835184,300869,301017,301209,600990,601606,603383,600037,834682,000029,002912,002647,300520,300663,000938,002125,002441,301356,600380,600722,002657,301172,301218,301321,300618,301087,836807,839371,000559,000566,688167,688367,871634,002675,000958,300768,301032,301177,600739,600783,600825,600879,838030,603707,688030,600133,300311,002166,002311,002440,300271,300472,603699,688179,688203,688222,601166,601727,603357,001360,002031,002229,688251,688398,839792,000603,000156,000762,688533,831039,000931,002074,002167,002649,000676,000793,300157,300170,601601,603301,688509,600330,600392,002555,002761,833819,872925,300366,300825,300001,300681,300755,301408,600141,002254,002759,300409,300679,301246,688302,603893,832471,002023,688057,688171,600516,600649,000420,600843,600979,002539,002695,002709,300315,000758,002091,002183,301331,301332,600030,600100,688480,836717,838837,601555,603088,603135,603273,600151,600383,600386,603160,002374,002401,002545,002570,002607,002654,002805,600812,601886,603010,688118,688119,300443,300821,300873,300876,002145,002191,002010,002097,002153,300369,300476,301003,301102,430017,002063,002101,301060,301277,833266,837344,000498,000536,002639,300166,300237,300267,831010,600624,600266,688479,688562,688568,688719,688323,688560,601608,830946,833030,839719,871553,871970,873706,002194,002673,002824,601066,300568,300880,301503,002939,300067,300133,300139,300184,300451,600409,601216,601688,601965,688004,688097,603098,688163,688350,688370,836433,000056,002238,002465,002558,300257,300773,430556,000700,000815,300975,301051,301185,430090,600010,600106,600346,300999,002468,002892,600187,002707,300002,300009,300337,300055,300168,300183,300379,300767,300940,301166,301292,601696,600821,601801,601878,002407,002483,600996,600578,603613,300052,300326,300352,301170,002932,002957,300027,002106,002243,301178,301301,600207,600497,601155,603000,605399,688178,688273,688280,688296,836871,688459,688549,688778,831167,832566,837174,002095,600622,600662,002410,002421,002526,002624,600704,600880,600959,000739,688132,688184,830879,832278,836270,600120,600595,600640,600782,002716,430478,300595,301361,301220,688543,301302,689009,600596,600718,601108,601162,300284,300455,300989,688523,688690,833427,000887,002174,300149,300226,603985,688051,688109,688139,688269,600503,688319,688329,688579,688648,301117,600039,300655,300987,603276,831641,831961,834599,837663,870656,603355,603978,834033,870976,873703,000338,002036,002056,002079,002093,002268,002324,300251,300299,300457,600111,600153,600549,600776,831278,870299,873690,873806,600728,300682,300747,600340,430139,300904,688559,688228,688601,688691,688631,300223,688234,688312,688582,300623,000977,301086,871981,688535,430425,688345,688590,872541,301052,600811,600988,601728,601939,603225,603888,688201,688478,832225,833509,835985,002158,002373,002460,002572,688387,000766,688548,836504,000636,833346,603005,688261,002138,002212,300014,300079,300398,688083,601689,835174,301095,872190,301255,688153,300147,300253,300925,301238,300978,601789,603330,603799,688069,688078,688450,688508,603596,688290,300945,834415,300953,688521,301071,300456,002960,300145,002156,002544,002703,688326,688183,873593,000912,002439,300036,300322,301578,688208,300458,837092,688049,688205,831856,832175,836247,836419,838810,600271,600552,600758,600770,301456,600536,600733,688128,688515,839493,301046,600761,688041,603019,688008,000426,688343,688047,688416,688486,603083,301085,300921,688093,688260,688338,688353,688512,833230,002123,002400,832735,000801,300171,301210,301262,301322,002705,002903,300919,600081,603108,688448,688711,832876,833075,300687,600986,002061,002250,300454,601336,688288,833751,300236,688403,830809,832145,873833,000062,000785,002164,002287,300690,688159,600845,301349,301360,688058,836720,003031,600131,600571,688772,002456,300459,002867,300134,300881,300634,300916,688657,831526,300890,301139,600088,688168,688391,832149,301270,301370,688172,688327,301186,838924,835670,430198,603171,603290,688432,688596,000564,002307,688420,688628,688609,300438,688298,688409,000066,000099,300035,300188,601318,688651,688653,300383,300678,301399,688218,688612,835305,688039,688365,839167,688499,837212,688458,688667,002291,603270,002698,603138,688173,688475,688001,688056,688061,002529,300199,301141,002236,603529,688352,832802,873152,688584,832978,600839,300207,300762,301235,301378,301153,301293,603103,688233,688244,301338,600850,688207,835185,600730,688786,839680,000997,300996,688255,688108,688195,688728,833523,836414,873223,301160,300373,002475,300479,601858,300433,300769,600588,838701,300068,300136,605305,835892,688048,002050,688372,001696,300661,603042,871857,688114,301390,301512,688213,300725,688270,600460,834475,002405,835368,002085,301310,301312,830779,603220,000681,688158,688206,688135,300612,603197,600060,300724,688259,688522,831627,837242,870199,300872,603298,835207,870357,688146,300212,301252,300604,300782,688031,688484,688618,603126,688080,873726,834770,688017,002920,300959,688084,838227,301213,688378,301099,301169,688023,688152,300042,688129,688162,688392,603039,688060,002230,688489,837023,300418,688316,002049,688225,835237,002965,300895,301488,688707,000838,000868,688617,832982,688111,688361,831832,300302,002518,301387,600580,300888,301033,603444,688682,300935,839790,688050,600229"
40,三胎概念,concept,22,0.151,146,"688185,300888,603139,002397,301108,300081,000607,300729,300753,301130,300869,300206,300459,300199,002950,603615,301052,300703,002570,300043,688273,300654"
41,高端装备,concept,61,0.208,293,"688239,688768,301163,605298,600523,300900,831689,300073,430476,002483,603088,603135,300157,300523,600330,600879,601727,300391,002708,688155,603308,300220,001360,002031,002248,300195,301512,688499,002819,301312,688218,300607,301213,688685,836942,300789,300173,002451,002933,300990,002097,300719,600761,002529,300293,002122,603095,301338,300823,000584,603985,300455,688084,000338,601608,871553,688097,002526,300747,300480,300169"
42,无人机,concept,88,0.296,297,"002560,603602,688297,688543,300489,600580,300900,603612,300629,301091,688510,301567,603308,603373,002023,002254,300679,688334,002298,301218,600879,300379,002313,002322,688568,002097,688509,300157,300074,002413,688066,603660,002933,300466,601965,688097,002526,300975,300373,688508,002405,688270,300656,002815,300690,300684,001696,002085,002465,600782,002957,002967,837092,688486,688084,600152,300719,000636,002439,300036,603809,300456,688653,301213,603666,688772,688128,000801,300762,000099,300188,000925,300438,600839,002236,300136,688207,300790,002373,688648,002138,300014,300079,002036,688523,000887,002845,300284"
43,ST板块,concept,22,0.172,128,"600387,000622,002951,300600,600603,000851,603869,002808,002586,002700,000584,600831,300096,300506,000909,600671,002197,300536,600462,002005,300125,603377"
44,土地流转,concept,3,0.073,41,"002941,832023,301301"
45,5G,concept,122,0.302,404,"603991,688682,301205,301380,603602,600037,603890,001339,002364,301382,603496,300679,002396,301329,002298,002413,600458,300513,600941,000938,002023,603321,002451,300520,603703,603327,300472,300768,002313,002953,688387,300747,601728,688590,002101,300166,300476,000156,300379,600831,688097,300002,000801,300762,300250,301141,300079,600776,002056,300366,300647,600330,300134,831961,002079,002544,300456,000909,002238,002465,600996,002194,300047,300184,300632,002093,002268,002138,300532,000636,300322,300634,300603,000066,300578,688609,603206,688512,002123,300608,603186,300710,300479,688001,300068,300136,688135,002927,301139,832149,002236,300782,688183,301390,002819,300590,688080,002049,688225,002965,688312,300623,300698,300373,002475,688691,688153,688205,603083,300684,603298,603220,688058,836720,003031,003007,603042,300852,838924,002815,300615,688159"
46,乡村振兴,concept,75,0.222,338,"839790,831087,301259,832171,600371,002734,600422,603466,835184,600141,832023,300967,600354,603139,002354,300513,837748,002244,301027,002539,002717,300248,300807,002777,000958,002448,300374,300675,301032,605138,002468,600831,002707,300002,000156,000833,300168,002166,300166,300237,300605,600476,002607,000785,600811,301178,603815,000793,600536,000801,000851,002291,300663,603090,000972,002197,300047,603888,300036,000564,002279,002307,000925,000997,600088,002761,002236,600850,300212,600596,300284,300989,603189,001696,300612"
47,回购增持再贷款概念,concept,29,0.152,191,"603031,300900,300119,002708,600570,002925,600186,002167,600235,002709,688004,002967,002845,834599,002138,000785,300919,301235,688711,301488,001283,688001,600850,688612,688416,600821,605138,002468,002407"
48,2024三季报预增,concept,26,0.263,99,"002364,300001,002166,600186,300881,002093,600235,000833,002468,601601,000426,603929,688255,300790,000977,688208,688049,688041,002666,002707,002835,601336,300724,300623,603893,002734"
