,code,name,industry1,concept,price_change_20
163,600251,冠农股份,果蔬加工,,12.77
164,603336,宏辉果蔬,果蔬加工,,9.28
165,603231,索宝蛋白,粮油加工,,6.77
166,002852,道道全,粮油加工,,5.13
167,600737,中粮糖业,其他农产品加工,,11.46
168,002556,辉隆股份,农业综合,,2.96
169,300021,大禹节水,农业综合,,1.49
170,600408,安泰集团,焦炭加工,,7.25
171,603113,金能科技,焦炭加工,,2.75
172,300483,首华燃气,油气开采,室外经济,19.7
173,600759,ST洲际,油气开采,,14.23
174,000096,广聚能源,油品石化贸易,,9.24
175,000554,泰山石油,油品石化贸易,,6.26
176,000822,山东海化,纯碱,,15.93
177,600409,三友化工,纯碱,,5.88
178,600618,氯碱化工,氯碱,,9.04
179,600714,金瑞矿业,无机盐,,17.0
180,600367,红星发展,无机盐,,12.15
181,300927,江天化学,其他化学原料,,18.7
182,000912,泸天化,氮肥,,4.89
183,000731,四川美丰,氮肥,,2.62
184,600078,ST澄星,磷肥及磷化工,绿色电力,26.51
185,300505,川金诺,磷肥及磷化工,,19.82
186,002734,利民股份,农药,,24.21
187,300758,七彩化学,涂料油墨,光刻胶,13.37
188,300522,世名科技,涂料油墨,,11.2
189,000408,藏格矿业,钾肥,,10.31
190,002545,东方铁塔,钾肥,,6.67
191,002246,北化股份,民爆用品,垃圾分类,22.56
192,603977,国泰集团,民爆用品,民爆概念,16.28
193,603172,万丰股份,纺织化学用品,,17.33
194,600165,ST宁科,其他化学制品,"参股银行,ST板块",39.59
195,300641,正丹股份,其他化学制品,,26.62
196,002170,芭田股份,复合肥,"数字乡村,转基因",14.31
197,002999,天禾股份,复合肥,供销社,10.55
198,300343,联创股份,氟化工,"PVDF概念,消毒剂,虚拟现实,氟化工概念",32.23
199,002407,多氟多,氟化工,独角兽概念,11.94
200,300848,美瑞新材,聚氨酯,,25.06
201,600309,万华化学,聚氨酯,"POE胶膜,丙烯酸,环氧丙烷",12.72
202,000677,恒天海龙,涤纶,壳资源,23.46
203,603332,苏州龙杰,涤纶,,13.94
204,000420,吉林化纤,粘胶,,24.09
205,600889,南京化纤,粘胶,,16.75
206,605166,聚合顺,其他纤维,,17.91
207,836077,吉林碳谷,其他纤维,,16.38
208,002064,华峰化学,氨纶,,6.85
209,300321,同大股份,其他塑料制品,"证金持股,股权转让",51.71
210,300221,银禧科技,改性塑料,"新型烟草,3D打印,OLED,NMN概念,网约车",31.2
211,300995,奇德新材,改性塑料,三胎概念,30.02
212,002381,双箭股份,其他橡胶制品,,12.04
213,301323,新莱福,其他橡胶制品,,10.31
214,002753,永东股份,炭黑,,10.37
215,001207,联科科技,炭黑,,8.05
216,600282,南钢股份,普钢,,9.09
217,000612,焦作万方,铝,"举牌,煤炭概念",42.91
218,600768,宁波富邦,铝,,28.87
219,601212,白银有色,铜,"可控核聚变,超导概念",32.96
220,871634,新威凌,铅锌,金属锌,44.47
221,300127,银河磁体,磁性材料,,17.54
222,000795,英洛华,磁性材料,,10.97
223,603601,再升科技,玻璃玻纤,,12.59
224,300196,长海股份,玻璃玻纤,,9.86
225,605122,四方新材,水泥,,8.01
226,600801,华新水泥,水泥,,4.61
227,002392,北京利尔,耐火材料,,9.31
228,002066,瑞泰科技,耐火材料,,8.42
229,300599,雄塑科技,管材,,3.33
230,002372,伟星新材,管材,,2.8
231,600193,创兴资源,装饰园林,数字经济,21.74
232,603316,诚邦股份,装饰园林,"特色小镇,建筑节能",17.23
233,600248,陕建股份,房屋建设,,-1.49
