,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
127,600661,昂立教育,47.18,46.7,14.54,23.44,20.37,教育,"在线教育,职业教育",-4.39,3.6799999999999997
128,871753,天纺标,59.54,53.11,-4.26,-8.36,13.58,"其他社会服务,专业服务",,-1.32,4.0
129,300215,电科院,17.68,23.24,4.47,10.3,2.19,"其他社会服务,专业服务","柔性直流输电,特高压",0.59,3.5
130,600028,中国石化,14.04,16.3,-0.46,-0.3,5.81,石油加工贸易,"可燃冰,页岩气",0.92,5.0
131,601857,中国石油,4.71,15.0,-1.35,-3.96,-15.39,石油加工贸易,,2.22,2.5
132,600187,国中水务,22.26,135.33,1.13,6.77,81.08,"环保,水务及水治理","空气能热泵,节能环保,黑龙江自贸区,独角兽概念,PPP概念,污水处理",-10.07,2.33
133,603324,盛剑环境,11.8,19.54,4.62,8.51,12.59,"环保,环保设备","中芯国际概念,光刻胶,华为海思概念股",9.99,2.33
134,003006,百亚股份,12.0,110.55,5.28,4.87,-7.09,"美容护理,个护用品",网络直播,-1.14,4.0
135,300849,锦盛新材,8.37,13.86,1.26,3.73,2.71,"美容护理,化妆品",可降解塑料,0.37,3.0
136,600737,中粮糖业,6.72,53.44,0.47,-0.23,-1.03,其他农产品加工,,-0.46,3.5
137,600938,中国海油,7.68,27.93,-0.6,-2.28,-15.0,油气开采,,2.61,4.5
138,603393,新天然气,6.21,22.42,-6.32,-7.57,-13.41,油气开采,,-0.69,3.0
139,600409,三友化工,4.52,17.43,-0.71,3.33,-3.12,纯碱,有机硅概念,-0.53,4.0
140,000683,远兴能源,12.1,47.64,-1.68,0.0,-9.56,纯碱,,-0.62,3.5
141,601216,君正集团,3.53,40.89,1.08,1.91,-0.8,氯碱,"蚂蚁金服概念,航运概念,生物疫苗",0.27,5.0
142,603067,振华股份,17.16,26.02,2.58,7.32,6.4,无机盐,"钒电池,钛白粉概念",-4.28,4.01
143,600328,中盐化工,12.11,16.4,3.07,4.19,10.46,无机盐,稀缺资源,0.13,3.67
144,600096,云天化,8.39,26.42,1.76,2.39,-5.15,磷肥及磷化工,氟化工概念,-0.05,4.0
145,000422,湖北宜化,11.38,95.19,-1.65,0.8,-10.94,磷肥及磷化工,,-0.61,3.5
146,002496,辉丰股份,19.62,38.32,1.53,3.91,22.02,农药,医疗废物处理,-2.21,4.67
147,002749,国光股份,13.99,36.63,-1.68,-0.34,-0.14,农药,草甘膦,0.27,3.01
148,603823,百合花,13.2,119.15,0.0,4.74,-1.96,涂料油墨,染料,-1.35,3.6799999999999997
149,002096,易普力,20.02,73.71,10.02,11.85,1.96,民爆用品,,0.18,3.5
150,603172,万丰股份,11.63,58.44,0.11,-0.22,-0.67,纺织化学用品,,0.0,3.34
151,600352,浙江龙盛,7.89,11.96,-0.56,1.27,0.0,纺织化学用品,,-0.79,2.67
152,836957,汉维科技,13.04,27.56,9.7,8.32,16.55,其他化学制品,,3.76,3.66
153,600727,鲁北化工,19.36,29.15,0.99,5.79,-3.52,其他化学制品,"水泥概念,钛白粉概念",-1.93,3.35
154,000902,新洋丰,13.64,41.63,5.43,6.11,-4.75,复合肥,"生态农业,数字乡村,农村电商,氟化工概念,磷化工",-0.09,4.5
155,002588,史丹利,8.56,58.13,2.32,1.54,-9.82,复合肥,"生态农业,玉米",-0.3,3.0
156,002064,华峰化学,6.08,15.1,0.13,2.73,-2.84,氨纶,,-1.44,2.5
157,603991,至正股份,18.28,57.74,3.3,5.77,16.14,其他塑料制品,股权转让,1.02,4.01
158,603580,艾艾精工,30.0,30.18,0.75,7.85,4.05,其他塑料制品,,-1.28,3.34
159,605183,确成股份,7.51,77.32,2.15,1.38,-5.77,炭黑,,-0.94,5.0
160,002532,天山铝业,7.68,94.48,2.11,-0.15,-19.19,铝,,1.8,2.67
161,000737,北方铜业,8.61,213.08,-0.34,0.93,-16.86,铜,,3.58,4.0
162,601899,紫金矿业,10.35,18.6,-3.28,-2.6,-16.54,铜,,1.52,3.5
163,000426,兴业银锡,9.3,109.72,-7.23,-4.81,-18.49,铅锌,,2.1,3.0
164,600326,西藏天路,18.34,29.86,9.67,7.64,1.75,水泥,"同花顺中特估100,水泥概念,金属铜,小金属概念",0.65,5.0
165,002233,塔牌集团,7.49,14.12,2.51,1.66,-1.08,水泥,,-2.0,3.35
166,001267,汇绿生态,21.01,24.46,1.78,7.94,3.63,装饰园林,硅能源,1.42,5.0
167,601668,中国建筑,3.3,10.59,-0.36,0.36,1.85,房屋建设,,1.1,5.0
168,600820,隧道股份,14.37,14.22,0.14,2.62,8.96,基础建设,上海国企改革,0.86,3.33
169,601611,中国核建,10.79,38.63,-3.35,3.31,-1.27,基础建设,,0.13,2.34
170,003001,中岩大地,22.13,47.59,12.38,10.32,4.0,专业工程,"土壤修复,装配式建筑",6.87,3.6799999999999997
171,003025,思进智能,16.93,23.08,-2.95,-0.54,6.4,机床工具,,-1.46,3.0
172,002046,国机精工,27.55,27.62,-0.47,4.43,8.6,磨具磨料,培育钻石,-2.12,5.0
173,001696,宗申动力,65.8,64.86,-20.03,12.47,18.98,其他通用设备,"高股息精选,北交所概念,钠离子电池,农机,两轮车,航空发动机",0.4,4.33
174,301070,开勒股份,27.56,25.46,-9.15,4.99,8.53,其他通用设备,,2.71,3.01
175,873223,荣亿精密,24.77,147.27,-0.45,-11.95,25.93,金属制品,富士康概念,-1.34,2.34
176,873169,七丰精工,33.54,103.48,-3.5,-11.87,42.17,金属制品,成飞概念,-3.62,2.33
177,600843,上工申贝,57.64,54.77,-3.69,22.36,20.18,纺织服装设备,"新型工业化,碳纤维",10.05,3.67
178,603095,越剑智能,20.31,31.76,5.41,12.96,8.71,纺织服装设备,"参股银行,机器视觉",-2.01,3.34
179,000425,徐工机械,9.15,65.92,2.35,-0.15,-2.98,工程机械,,-0.91,4.01
180,300159,新研股份,64.84,65.19,-3.69,8.8,19.9,农用机械,"农机,大飞机,航空发动机,摘帽,新疆振兴",-8.91,5.0
181,600262,北方股份,25.16,45.11,-3.24,1.09,11.71,能源及重型设备,,-4.54,3.0100000000000002
182,600320,振华重工,25.23,24.7,-0.52,1.06,10.43,能源及重型设备,,-0.78,2.66
183,002779,中坚科技,30.05,33.04,3.03,8.52,19.52,其他专用设备,,0.8,2.0
184,600894,广日股份,17.46,16.7,14.88,9.56,11.6,楼宇设备,证金持股,4.7,5.0
185,000551,创元科技,12.43,16.9,1.5,4.65,7.39,环保设备,PM2.5,-0.32,3.01
186,301226,祥明智能,72.78,100.53,-7.67,-22.74,12.63,电机,"汽车热管理,冷链物流",-0.84,2.67
187,603050,科林电气,30.43,29.09,2.17,12.55,21.09,电气自控设备,"虚拟电厂,举牌,特斯拉,高压快充",-0.3,3.33
