,code,name,momentum,industry1,concept
75,688520,神州细胞,39.31,"生物制品,其他生物制品","重组蛋白,生物疫苗"
76,688687,凯因科技,30.07,"生物制品,其他生物制品",
77,000028,国药一致,21.28,医药商业,
78,603368,柳药集团,16.98,医药商业,医药电商
79,688606,奥泰生物,33.95,"医疗器械,体外诊断","猴痘概念,抗原检测,肝炎概念,辅助生殖"
80,300677,英科医疗,29.57,"医疗器械,医疗耗材",
81,600023,浙能电力,31.75,"电力,火电",
82,600396,*ST金山,28.57,"电力,火电",
83,603706,东方环宇,35.51,燃气,
84,002700,ST浩源,16.76,燃气,
85,601975,招商南油,37.21,港口航运,航运概念
86,833171,国航远洋,28.46,港口航运,海峡两岸
87,601518,吉林高速,24.29,"公路铁路运输,高速公路",
88,600548,深高速,22.02,"公路铁路运输,高速公路",
89,000099,中信海直,73.72,"机场航运,航空运输","飞行汽车(eVTOL),粤港澳大湾区,中字头股票,风电"
90,600897,厦门空港,13.44,机场航运,
91,603967,中创物流,24.66,物流,中韩自贸区
92,603535,嘉诚国际,20.16,物流,
93,000886,海南高速,40.05,"房地产开发,住宅开发","自由贸易港,海南自贸区,免税店,债转股(AMC概念),参股银行"
94,000897,津滨发展,27.45,"房地产开发,住宅开发",天津自贸区
95,601998,中信银行,30.5,"银行,股份制银行",同花顺中特估100
96,600926,杭州银行,17.97,"银行,城商行",
97,000532,华金资本,40.25,"保险及其他,多元金融","污水处理,参股新三板,横琴新区,参股券商,石墨烯"
98,600053,九鼎投资,23.54,"保险及其他,多元金融",
99,601136,首创证券,36.99,证券,"期货概念,京津冀一体化"
100,002670,国盛金控,36.05,证券,参股券商
101,600605,汇通能源,32.67,"零售,商业物业经营",物业管理
102,600865,百大集团,28.61,"零售,百货零售","新零售,蚂蚁金服概念,信托概念,金改"
103,601028,玉龙股份,34.53,贸易,"钒电池,地下管网"
104,600725,云维股份,21.51,贸易,
105,000888,峨眉山A,62.35,"景点及旅游,自然景点","冰雪产业,NFT概念,旅游概念,智慧政务,体育产业,电子商务"
106,600749,西藏旅游,52.56,"景点及旅游,自然景点","露营经济,旅游概念,文化传媒"
107,300310,宜通世纪,55.7,通信服务,"智慧灯杆,互联网医疗,光伏概念,物联网"
108,300738,奥飞数据,28.7,通信服务,
109,300419,浩丰科技,83.81,"计算机应用,IT服务","数据要素,抖音概念,数据中心,网络安全,云计算,互联网金融,快手概念,国产软件,华为概念,大数据,量子科技"
110,688631,莱斯信息,72.07,"计算机应用,软件开发","央企国企改革,新股与次新股,科创次新股,注册制次新股,智能交通"
111,002343,慈文传媒,32.5,"传媒,影视院线","短剧游戏,手机游戏"
112,300133,华策影视,32.33,"传媒,影视院线","AI语料,短剧游戏,知识产权保护,网红经济,手机游戏,网络游戏"
113,600098,广州发展,22.54,综合,"可燃冰,广东自贸区"
114,000833,粤桂股份,17.01,综合,
115,300719,安达维尔,96.4,"国防军工,航空装备","军工信息化,一季报预增,成飞概念,信创,军民融合,大飞机,虚拟现实,国产软件,高端装备,碳纤维,通用航空"
116,300397,天和防务,75.55,"国防军工,军工电子","算力租赁,时空大数据,毫米波雷达,东数西算（算力）,智慧灯杆,安防,机器人概念,海工装备,边缘计算,无人驾驶,芯片概念"
117,002813,路畅科技,36.4,非金属材料,"智能座舱,胎压监测"
118,688300,联瑞新材,30.47,非金属材料,
119,000603,盛达资源,122.06,"工业金属,铅锌","标普道琼斯A股,深股通,金属锌,金属镍,融资融券,小金属概念,文化传媒,黄金概念"
120,600490,鹏欣资源,65.64,"工业金属,铜","俄乌冲突概念,沪股通,标普道琼斯A股,钴,金属铜,金属镍"
121,000506,中润资源,82.4,贵金属,"人民币贬值受益,小金属概念"
122,600988,赤峰黄金,46.46,贵金属,"金属铜,稀缺资源,固废处理,稀土永磁"
123,002167,东方锆业,38.69,"小金属,其他小金属",牙科医疗
124,000960,锡业股份,36.55,"小金属,其他小金属","金属铅,债转股(AMC概念)"
125,300484,蓝海华腾,69.16,"自动化设备,工控设备","新型工业化,固态电池,智能制造,MCU芯片,工业4.0,第三代半导体,燃料电池,智能物流,锂电池,高压快充"
126,301199,迈赫股份,42.81,"自动化设备,机器人",
127,831526,凯华材料,55.89,电子化学品,
128,688019,安集科技,25.12,电子化学品,国家大基金持股
129,836699,海达尔,63.74,小家电,新股与次新股
130,603486,科沃斯,53.62,小家电,"智能家居,MSCI概念,家用电器"
131,603551,奥普家居,25.82,厨卫电器,
132,002035,华帝股份,17.31,厨卫电器,
133,300347,泰格医药,23.81,"医疗服务,医疗研发外包",
134,688076,诺泰生物,13.97,"医疗服务,医疗研发外包",
135,300917,特发服务,40.44,房地产服务,"深圳国企改革,物业管理,阿里巴巴概念"
136,002264,新华都,34.86,互联网电商,"网络直播,健康中国,赛马概念,网红经济,体育产业,互联网彩票,福建自贸区,海峡两岸"
137,002315,焦点科技,20.87,互联网电商,"ERP概念,家庭医生,互联网保险"
138,600661,昂立教育,33.19,教育,"在线教育,职业教育"
139,300192,科德教育,31.17,教育,在线教育
140,002967,广电计量,21.69,"其他社会服务,专业服务",华为海思概念股
141,600158,中体产业,15.89,"其他社会服务,体育",赛马概念
142,600506,统一股份,31.66,石油加工贸易,"新零售,土地流转"
143,600346,恒力石化,29.17,石油加工贸易,"PET铜箔,同花顺漂亮100"
144,301049,超越科技,37.69,"环保,固废治理","汽车拆解概念,医疗废物处理,动力电池回收,金属回收,固废处理"
145,300056,中创环保,29.41,"环保,综合环境治理","钙钛矿电池,PVDF概念,垃圾分类,PM2.5"
146,003006,百亚股份,33.17,"美容护理,个护用品",网络直播
147,605009,豪悦护理,26.82,"美容护理,个护用品",
148,600598,北大荒,4.09,粮食种植,"大豆,玉米"
149,300673,佩蒂股份,33.42,饲料,宠物经济
150,839371,欧福蛋业,13.79,其他农产品加工,
151,600737,中粮糖业,8.16,其他农产品加工,
152,600759,ST洲际,15.54,油气开采,
153,600256,广汇能源,12.6,油气开采,
154,000096,广聚能源,8.17,油品石化贸易,
155,000822,山东海化,14.23,纯碱,
156,000683,远兴能源,11.41,纯碱,
157,601216,君正集团,9.67,氯碱,
158,600618,氯碱化工,7.54,氯碱,
159,603067,振华股份,36.32,无机盐,钒电池
160,000830,鲁西化工,17.55,其他化学原料,氟化工概念
161,831304,迪尔化工,17.01,其他化学原料,
162,600426,华鲁恒升,7.26,氮肥,
163,300505,川金诺,38.39,磷肥及磷化工,磷化工
164,002895,川恒股份,17.97,磷肥及磷化工,
165,002496,辉丰股份,36.56,农药,"医疗废物处理,农村电商"
166,002215,诺普信,24.21,农药,"土壤修复,农业种植,生态农业,参股保险,草甘膦"
167,301036,双乐股份,46.82,涂料油墨,
168,300758,七彩化学,29.14,涂料油墨,钙钛矿电池
169,002545,东方铁塔,6.77,钾肥,
170,000408,藏格矿业,6.07,钾肥,
171,002827,高争民爆,22.07,民爆用品,民爆概念
172,603977,国泰集团,14.95,民爆用品,
173,300067,安诺其,66.4,纺织化学用品,"Sora概念(文生视频),算力租赁,英伟达概念,AIGC概念,东数西算（算力）,电子纸,长三角一体化,海工装备,节能环保,C2M概念,柔性屏,独角兽概念,区块链,PPP概念,染料,百度概念,电子商务,污水处理"
174,002455,百川股份,64.96,其他化学制品,"宁德时代概念,钠离子电池,光刻胶,动力电池回收,石墨电极,石墨烯"
175,002588,史丹利,10.63,复合肥,玉米
176,002170,芭田股份,9.32,复合肥,转基因
177,603505,金石资源,15.4,氟化工,
178,600160,巨化股份,15.14,氟化工,PVDF概念
179,300848,美瑞新材,12.59,聚氨酯,
180,600309,万华化学,10.73,聚氨酯,"POE胶膜,环氧丙烷"
181,603225,新凤鸣,7.66,涤纶,
182,000420,吉林化纤,24.04,粘胶,
183,605166,聚合顺,16.27,其他纤维,
184,600810,神马股份,6.39,其他纤维,
185,002064,华峰化学,10.41,氨纶,
186,300243,瑞丰高材,55.61,其他塑料制品,"供应链金融,可降解塑料"
187,300180,华峰超纤,48.86,其他塑料制品,"跨境支付（CIPS）,华为汽车,互联网金融,集成电路概念,移动支付"
188,300221,银禧科技,23.66,改性塑料,网约车
189,300320,海达股份,29.58,其他橡胶制品,恒大概念
190,831834,三维股份,13.11,其他橡胶制品,
191,605183,确成股份,42.22,炭黑,
192,001207,联科科技,7.85,炭黑,
193,000612,焦作万方,62.59,铝,"举牌,煤炭概念,稀土永磁"
194,000933,神火股份,34.58,铝,煤炭概念
195,000737,北方铜业,34.7,铜,
196,871634,新威凌,36.74,铅锌,金属锌
197,000795,英洛华,13.55,磁性材料,
198,300811,铂科新材,12.53,磁性材料,
199,600176,中国巨石,23.32,玻璃玻纤,
200,601636,旗滨集团,8.96,玻璃玻纤,低辐射玻璃（Low-E）
201,600801,华新水泥,8.87,水泥,
202,001296,长江材料,20.04,其他建材,
203,002392,北京利尔,20.47,耐火材料,
204,002372,伟星新材,18.54,管材,
205,002989,中天精装,36.53,装饰园林,
206,603007,ST花王,13.64,装饰园林,
207,000628,高新发展,35.68,房屋建设,参股新三板
208,601668,中国建筑,5.17,房屋建设,
209,600820,隧道股份,19.36,基础建设,
210,600133,东湖高新,19.23,基础建设,
211,603929,亚翔集成,37.29,专业工程,"中芯国际概念,富士康概念,OLED,柔性屏"
212,600970,中材国际,8.45,专业工程,
213,003025,思进智能,27.87,机床工具,一体化压铸
214,688577,浙海德曼,24.6,机床工具,
215,300554,三超新材,33.25,磨具磨料,
216,300818,耐普矿机,8.12,磨具磨料,
217,603277,银都股份,20.15,制冷空调设备,室外经济
218,603269,海鸥股份,46.01,其他通用设备,"超超临界发电,氢能源"
219,000777,中核科技,41.2,金属制品,"超超临界发电,幽门螺杆菌概念,金改"
220,002021,*ST中捷,20.81,纺织服装设备,
221,603095,越剑智能,19.75,纺织服装设备,
222,830839,万通液压,37.06,工程机械,
223,600761,安徽合力,34.18,工程机械,
224,870508,丰安股份,27.09,农用机械,
225,601038,一拖股份,12.1,农用机械,
226,600262,北方股份,33.22,能源及重型设备,
227,002483,润邦股份,27.95,能源及重型设备,
228,002611,东方精工,12.74,印刷包装机械,
229,871553,凯腾精工,7.56,印刷包装机械,
230,301128,强瑞技术,32.27,其他专用设备,"液冷服务器,华为汽车"
231,688501,青达环保,27.41,环保设备,
232,300862,蓝盾光电,18.63,环保设备,
233,002823,凯中精密,42.13,电机,特斯拉
234,600580,卧龙电驱,20.07,电机,
235,603556,海兴电力,43.94,电气自控设备,电力物联网
236,601179,中国西电,59.07,输变电设备,"同花顺中特估100,央企国企改革,柔性直流输电,工业母机,光伏概念,中字头股票,风电,核电"
237,834062,科润智控,43.9,输变电设备,
238,688226,威腾电气,26.14,线缆部件及其他,
239,002882,金龙羽,25.31,线缆部件及其他,
240,300623,捷捷微电,21.29,分立器件,
241,605111,新洁能,17.2,分立器件,
242,002409,雅克科技,27.42,半导体材料,"国家大基金持股,氟化工概念"
243,300476,胜宏科技,32.59,印制电路板,"AI PC,AI手机,苹果概念"
244,603228,景旺电子,28.68,印制电路板,
245,603303,得邦照明,19.18,LED,
246,605365,立达信,16.8,LED,
247,002962,五方光电,23.68,光学元件,
248,002273,水晶光电,19.69,光学元件,智能穿戴
249,601127,赛力斯,15.7,乘用车,
250,000951,中国重汽,19.68,商用载货车,
251,600006,东风汽车,14.64,商用载货车,
252,600066,宇通客车,15.44,商用载客车,
253,872541,铁大科技,26.0,轨交设备,
254,689009,九号公司,39.94,其他交运设备,英伟达概念
255,000521,长虹美菱,26.04,冰洗,"血氧仪,北交所概念,冷链物流,净水概念"
256,000651,格力电器,10.86,空调,
257,300403,汉宇集团,24.96,其他白色家电,
258,002290,禾盛新材,17.04,其他白色家电,
259,600839,四川长虹,12.77,彩电,
260,600060,海信视像,9.53,彩电,
261,601579,会稽山,6.43,其他酒类,
262,603711,香飘飘,18.99,软饮料,社区团购
263,002840,华统股份,10.19,肉制品,养鸡
264,000895,双汇发展,5.89,肉制品,
265,603288,海天味业,11.85,调味发酵品,
266,603317,天味食品,8.28,调味发酵品,
267,600887,伊利股份,9.03,乳品,
268,300791,仙乐健康,14.26,其他食品,
269,002003,伟星股份,21.77,辅料,
270,002674,兴业科技,19.71,辅料,
271,605180,华生科技,16.54,其他纺织,
272,603889,新澳股份,14.24,其他纺织,抗病毒面料
273,603958,哈森股份,17.24,鞋帽及其他,
274,300952,恒辉安防,14.59,鞋帽及其他,
275,603365,水星家纺,10.73,家纺,
276,002327,富安娜,7.56,家纺,
277,834765,美之高,21.74,家具,
278,603661,恒林股份,14.71,家具,
279,600916,中国黄金,12.38,饰品,
280,000017,深中华A,9.8,饰品,
281,002899,英派斯,16.53,文娱用品,
282,688506,百利天恒,49.9,化学制剂,创新药
283,688578,艾力斯,44.65,化学制剂,创新药
284,872925,锦好医疗,23.7,医疗设备,
285,300049,福瑞股份,23.29,医疗设备,家庭医生
286,002039,黔源电力,18.07,水电,
287,600236,桂冠电力,13.24,水电,
288,003816,中国广核,16.32,新能源发电,
289,601985,中国核电,15.39,新能源发电,
290,601298,青岛港,25.36,港口,中韩自贸区
291,601000,唐山港,15.83,港口,
292,600125,铁龙物流,8.85,铁路运输,
293,601333,广深铁路,7.52,铁路运输,
294,000089,深圳机场,8.91,机场,
295,601021,春秋航空,8.72,航空运输,
296,600785,新华百货,20.97,百货零售,
297,002416,爱施德,8.69,专业连锁,
298,600113,浙江东日,16.91,商业物业经营,
299,600593,大连圣亚,27.03,人工景点,
300,000524,岭南控股,40.65,旅游综合,"预制菜,NFT概念,免税店,广东自贸区"
301,834021,流金科技,14.94,有线电视网络,白酒概念
302,002238,天威视讯,13.51,有线电视网络,
303,003029,吉大正元,61.02,软件开发,"长安汽车概念,数字水印,电子身份证,跨境支付（CIPS）,中俄贸易概念,抖音概念,数据安全,鸿蒙概念,智慧政务,工业互联网,蚂蚁金服概念,数字货币"
304,301025,读客文化,27.28,出版,
305,300788,中信出版,21.83,出版,
306,300781,因赛集团,23.66,广告营销,
307,603598,引力传媒,21.34,广告营销,
308,600879,航天电子,19.69,航天装备,太赫兹
309,300900,广联航空,55.07,航空装备,"成飞概念,黑龙江自贸区,航空发动机"
310,688543,国科军工,13.83,地面兵装,
311,600150,中国船舶,8.25,航海装备,中船系
312,601989,中国重工,6.72,航海装备,
313,603191,望变电气,13.18,特钢,特钢概念
314,002318,久立特材,13.02,特钢,
315,600809,山西汾酒,12.74,白酒,
316,002461,珠江啤酒,9.73,啤酒,
317,000729,燕京啤酒,8.32,啤酒,
318,002136,安纳达,28.16,钛白粉,
319,688089,嘉必优,66.0,食品及饲料添加剂,"合成生物,三胎概念"
320,603739,蔚蓝生物,48.94,食品及饲料添加剂,"幽门螺杆菌概念,CRO概念,食品安全,禽流感,代糖概念,宠物经济,动物疫苗,化肥"
321,002395,双象股份,32.26,合成树脂,"MR（混合现实）,煤化工,丙烯酸,足球概念"
322,603928,兴业股份,28.48,合成树脂,
323,002632,道明光学,20.43,膜材料,节能照明
324,000923,河钢资源,12.39,冶钢原料,
325,001203,大中矿业,10.97,冶钢原料,
326,301219,腾远钴业,30.05,能源金属,金属回收
327,600711,盛屯矿业,20.5,能源金属,
328,002979,雷赛智能,34.27,机器人,"人形机器人,富士康概念"
329,603583,捷昌驱动,36.07,工控设备,养老概念
330,300489,光智科技,41.82,激光设备,"先进封装,黑龙江自贸区"
331,000988,华工科技,16.43,激光设备,
332,300430,诚益通,38.42,其他自动化设备,"脑机接口,健康中国,消毒剂,养老概念,工业大麻,三胎概念"
333,300757,罗博特科,37.77,其他自动化设备,"BC电池,TOPCON电池,HJT电池"
334,688408,中信博,34.34,光伏设备,
335,300842,帝科股份,25.26,光伏设备,"BC电池,TOPCON电池,HJT电池"
336,300690,双一科技,55.3,风电设备,"PEEK材料,3D打印"
337,603507,振江股份,28.02,风电设备,光热发电
338,835237,力佳科技,34.85,电池,
339,300870,欧陆通,28.14,其他电源设备,
340,300105,龙源技术,27.84,其他电源设备,PM2.5
341,688256,寒武纪,33.59,集成电路设计,"先进封装,国产操作系统"
342,002371,北方华创,11.21,半导体设备,华为海思概念股
343,688036,传音控股,16.78,品牌消费电子,MLOps概念
344,300866,安克创新,13.91,品牌消费电子,
345,003000,劲仔食品,13.26,休闲食品,
346,603221,爱丽家居,21.85,瓷砖地板,
347,600161,天坛生物,13.45,血液制品,
348,300294,博雅生物,12.06,血液制品,
349,603392,万泰生物,28.14,疫苗,生物疫苗
350,833575,康乐卫士,11.82,疫苗,
351,300529,健帆生物,26.08,医疗耗材,
352,300482,万孚生物,28.96,体外诊断,"食品安全,基因测序,芬太尼"
353,600505,西昌电力,17.28,电能综合服务,
354,688248,南网科技,16.35,电能综合服务,
355,600724,宁波富达,14.22,商业地产,水泥概念
356,600007,中国国贸,5.41,商业地产,
357,601328,交通银行,15.33,国有大型银行,
358,601939,建设银行,11.61,国有大型银行,
359,600015,华夏银行,11.96,股份制银行,
360,601838,成都银行,10.72,城商行,
361,601128,常熟银行,10.58,农商行,
362,600908,无锡银行,7.09,农商行,
363,871753,天纺标,13.9,专业服务,
364,300418,昆仑万维,18.74,游戏,
365,603533,掌阅科技,30.18,数字媒体,"AI语料,电子纸"
366,300364,中文在线,23.68,数字媒体,Web3.0
367,002296,辉煌科技,65.63,通信网络设备及器件,"信创,工业互联网,大飞机,区块链,壳资源,互联网彩票,高端装备"
368,300502,新易盛,41.86,通信网络设备及器件,共封装光学（CPO）
369,300913,兆龙互连,34.45,通信线缆及配套,
370,300628,亿联网络,56.95,通信终端及配件,"云办公,超清视频,MSCI概念,福建自贸区"
371,688027,国盾量子,45.13,通信终端及配件,
372,301202,朗威股份,37.99,其他通信设备,"液冷服务器,换电概念,注册制次新股"
373,300177,中海达,65.65,军工电子,"3D打印,车联网,数字孪生,高铁,无人驾驶,百度概念,创投,水利"
374,603315,福鞍股份,15.06,大气治理,特钢概念
375,603200,上海洗霸,25.11,水务及水治理,消毒剂
376,688101,三达膜,21.63,水务及水治理,
377,300779,惠城环保,24.42,固废治理,
378,002645,华宏科技,24.34,综合环境治理,
379,603605,珀莱雅,22.72,化妆品,
380,300849,锦盛新材,14.23,化妆品,
381,300350,华鹏飞,45.26,IT服务,"统一大市场,中俄贸易概念,碳中和,供应链金融,跨境电商"
382,603993,洛阳钼业,31.91,,"同花顺出海50,同花顺漂亮100"
383,603298,杭叉集团,29.57,,同花顺出海50
384,301308,江波龙,21.13,,"AI PC,AI手机"
385,688228,开普云,34.04,,"Sora概念(文生视频),多模态AI,华为昇腾,虚拟电厂,知识产权保护"
386,300107,建新股份,65.62,,"飞行汽车(eVTOL),雄安新区,染料"
387,300859,*ST西域,33.74,,"冰雪产业,ST板块"
388,603308,应流股份,39.7,,"可控核聚变,参股银行"
389,603261,立航科技,32.46,,可控核聚变
390,603037,凯众股份,27.1,,小米汽车
391,300446,航天智造,24.06,,小米汽车
392,301091,深城交,38.09,,"多模态AI,数据确权,深圳国企改革,国资云"
393,002708,光洋股份,35.56,,"智能座舱,PCB概念"
394,603496,恒为科技,32.51,,华为昇腾
395,002970,锐明技术,41.16,,"星闪概念,EDR概念,垃圾分类,机器视觉"
396,300255,常山药业,39.26,,"减肥药,医美概念"
397,300199,翰宇药业,31.03,,"减肥药,抗原检测,辅助生殖,NMN概念,细胞免疫治疗"
398,603018,华设集团,40.3,,"空间计算,虚拟数字人,数字乡村,腾讯概念,机器视觉"
399,600521,华海药业,34.37,,"阿尔茨海默概念,新冠特效药,仿制药一致性评价,细胞免疫治疗,流感"
400,002773,康弘药业,30.48,,"阿尔茨海默概念,眼科医疗"
401,603516,淳中科技,30.31,,MR（混合现实）
402,002195,岩山科技,10.53,,脑机接口
403,002023,海特高新,43.69,,"太赫兹,汽车芯片,职业教育,第三代半导体,集成电路概念"
404,300497,富祥药业,49.57,,"猴痘概念,有机硅概念,肝炎概念,CRO概念,人造肉,生物医药"
405,301301,川宁生物,43.66,,"粮食概念,智能医疗"
406,600300,维维股份,16.06,,"粮食概念,乳业"
407,300520,科大国创,58.35,,"数据要素,MLOps概念,ChatGPT概念,AIGC概念,数字乡村,ETC,边缘计算,智能物流,互联网医疗"
408,688500,*ST慧辰,32.63,,"烟草,ST板块"
409,300233,金城医药,25.87,,"烟草,禽流感"
410,601567,三星医疗,34.5,,"电力物联网,高压氧舱,民营医院"
411,000555,神州信息,34.81,,ERP概念
412,300290,荣科科技,30.24,,"DRG/DIP,华为欧拉,股权转让"
413,600577,精达股份,14.48,,超导概念
414,002897,意华股份,30.45,,6G概念
415,603220,中贝通信,27.85,,"6G概念,共享单车"
416,600571,信雅达,22.62,,数字水印
417,688685,迈信林,42.77,,共封装光学（CPO）
418,688318,财富趋势,41.41,,"ChatGPT概念,腾讯概念"
419,600038,中直股份,20.88,,国产航母
420,600482,中国动力,16.95,,"国产航母,中船系"
421,002870,香山股份,24.74,,血氧仪
422,600866,星湖科技,48.43,,"新冠特效药,代糖概念,生物医药"
423,601139,深圳燃气,12.31,,POE胶膜
424,603721,中广天择,26.49,,数据确权
425,600547,山东黄金,37.38,,"证金持股,稀缺资源"
426,601595,上海电影,28.34,,上海国企改革
427,603232,格尔软件,55.34,,"Web3.0,华为鲲鹏,电子身份证,鸿蒙概念,汽车芯片,云办公,数字货币,阿里巴巴概念"
428,430510,丰光精密,37.12,,减速器
429,301206,三元生物,25.62,,生物质能发电
430,002597,金禾实业,23.28,,生物质能发电
431,002085,万丰奥威,42.13,,"一体化压铸,恒大概念,共同富裕示范区,碳中和"
432,605277,新亚电子,34.29,,F5G概念
