,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
62,63,工业母机,BK1004,1174.43,15.8,1.36,1112991648000,1.62,57,25,宏德股份,20.0
63,64,可燃冰,BK0818,1100.38,14.77,1.36,312982832000,0.53,15,0,杰瑞股份,3.57
64,65,基因测序,BK0693,1665.21,22.27,1.36,493579984000,1.89,40,10,仟源医药,10.05
65,66,生态农业,BK0669,1083.75,14.39,1.35,246663027000,1.29,35,5,华英农业,7.03
66,67,CAR-T细胞疗法,BK0986,885.49,11.59,1.33,434597952000,3.24,16,5,香雪制药,19.97
67,68,抽水蓄能,BK1003,1195.76,15.61,1.32,935529040000,0.59,27,3,中国电建,3.7
68,69,农业种植,BK0888,1677.32,21.82,1.32,668526768000,1.79,62,18,秋乐种业,10.94
69,70,独家药品,BK0676,2423.83,31.33,1.31,799462480000,1.45,34,7,奇正藏药,9.99
70,71,核能核电,BK0577,1669.04,21.57,1.31,2738955888000,0.95,110,22,中环海陆,11.45
71,72,新能源,BK0493,12493.01,160.05,1.3,5844229888000,1.01,156,49,红相股份,20.0
72,73,东盟自贸区概念,BK1154,951.53,11.87,1.26,169302072000,0.67,10,4,百隆东方,3.29
73,74,虚拟电厂,BK0958,1614.94,20.11,1.26,655381328000,1.6,40,11,东方国信,9.09
74,75,乳业,BK0892,868.58,10.79,1.26,449325440000,1.28,22,6,西部牧业,6.91
75,76,BC电池,BK1148,774.31,9.56,1.25,391183392000,1.83,13,9,永和智控,10.13
76,77,央视50_,BK0610,2174.5,26.76,1.25,15478231040000,0.33,40,10,中国神华,6.17
77,78,时空大数据,BK1130,1107.07,13.56,1.24,132323372000,7.1,16,7,零点有数,10.14
78,79,口罩,BK0911,1315.38,15.98,1.23,2734809920000,1.77,120,36,香雪制药,19.97
79,80,麒麟电池,BK1092,990.9,11.99,1.22,1221301776000,2.5,8,1,银邦股份,3.62
80,81,冷链物流,BK0852,1513.42,18.31,1.22,1408293424000,1.77,85,25,天顺股份,10.03
81,82,一带一路,BK0712,1128.58,13.53,1.21,13285571840000,0.66,337,85,天顺股份,10.03
82,83,水利建设,BK0597,1388.75,16.54,1.21,2116780336000,1.35,82,23,蒙草生态,14.07
83,84,汽车拆解,BK0943,905.93,10.72,1.2,235882829000,0.98,15,1,怡球资源,2.86
84,85,幽门螺杆菌概念,BK1056,804.41,9.41,1.18,489956128000,1.74,41,9,海辰药业,8.46
85,86,贬值受益,BK0812,1096.6,12.62,1.16,1991718352000,1.23,116,30,瑞贝卡,10.16
86,87,AH股,BK0499,7466.16,85.7,1.16,32891561984000,0.4,110,35,海通证券,10.03
87,88,钙钛矿电池,BK1094,678.87,7.79,1.16,436060912000,1.59,21,8,西子洁能,6.33
88,89,房屋检测,BK1179,1111.94,12.63,1.15,200570663000,1.57,27,7,中设股份,6.17
89,90,户外露营,BK1079,971.25,10.98,1.14,110194006000,1.25,19,6,开润股份,5.48
90,91,病毒防治,BK0675,2317.76,26.15,1.14,1614025584000,1.52,92,25,香雪制药,19.97
91,92,毫米波概念,BK1124,1201.3,13.39,1.13,392313376000,2.71,24,12,红相股份,20.0
92,93,换电概念,BK0985,1081.26,12.05,1.13,783615984000,1.18,35,12,庚星股份,7.13
93,94,高送转,BK0723,3181.77,35.32,1.12,3368256000000,2.5,160,54,华是科技,19.98
94,95,PEEK材料概念,BK1156,936.77,10.39,1.12,178867107000,2.31,18,3,超捷股份,4.43
95,96,青蒿素,BK0872,1483.21,16.36,1.12,289290688000,1.0,10,1,德龙汇能,3.46
96,97,国资云概念,BK1008,1241.7,13.52,1.1,302512176000,5.92,9,9,常山北明,10.03
97,98,动力电池回收,BK1052,651.33,6.98,1.08,675856192000,1.5,29,7,泰尔股份,9.92
98,99,PPP模式,BK0721,583.75,6.25,1.08,2307118320000,1.34,110,36,深水海纳,20.02
99,100,储能,BK0989,1475.14,15.71,1.08,7559325440000,1.24,238,67,华盛昌,9.99
100,101,核污染防治,BK0983,1086.61,11.55,1.07,392631936000,1.02,21,8,华盛昌,9.99
101,102,调味品概念,BK1026,820.46,8.69,1.07,739235888000,1.0,25,4,千禾味业,4.95
102,103,体外诊断,BK0841,1164.53,12.13,1.05,1045579488000,1.39,51,14,华盛昌,9.99
103,104,高压快充,BK1144,918.2,9.49,1.04,352457424000,2.03,29,12,鼎汉技术,11.25
104,105,有机硅,BK0961,1092.78,11.29,1.04,291303616000,1.25,25,5,远翔新材,6.04
105,106,体育产业,BK0708,991.24,10.18,1.04,807507008000,1.17,56,17,共创草坪,7.85
106,107,光伏建筑一体化,BK0978,1135.26,11.61,1.03,1100566560000,1.37,66,18,文科股份,8.19
107,108,乡村振兴,BK0834,1171.4,11.87,1.02,1266171184000,1.7,102,31,晓鸣股份,20.02
108,109,合成生物,BK1174,994.9,10.05,1.02,1246337408000,1.63,85,23,锦波生物,8.96
109,110,低碳冶金,BK0979,877.44,8.85,1.02,294588880000,0.47,6,2,龙净环保,3.32
110,111,节能环保,BK0494,9426.19,94.88,1.02,3541043136000,1.43,306,92,深水海纳,20.02
111,112,痘病毒防治,BK1085,794.12,7.98,1.02,694057712000,1.57,40,16,海辰药业,8.46
112,113,化妆品概念,BK0974,953.6,9.53,1.01,713551120000,1.44,42,13,锦波生物,8.96
113,114,磷化工,BK1010,636.39,6.31,1.0,638548400000,0.98,28,8,兴发集团,4.03
114,115,民爆概念,BK1066,1141.17,11.29,1.0,128089481000,1.55,14,2,航天智造,3.21
115,116,辅助生殖,BK0939,945.43,9.25,0.99,537660224000,2.05,40,12,香雪制药,19.97
116,117,食品安全,BK0614,4953.67,48.1,0.98,309493216000,2.64,31,9,立华股份,7.99
117,118,中俄贸易概念,BK1072,1123.65,10.88,0.98,385706224000,1.76,45,11,天顺股份,10.03
118,119,人造肉,BK0866,867.45,8.31,0.97,167905388000,1.91,15,2,雪榕生物,5.71
119,120,天然气,BK0843,1201.11,11.49,0.97,5178598656000,0.46,96,28,天海防务,7.51
120,121,医废处理,BK0914,945.65,8.95,0.96,190446023000,1.31,26,6,玉禾田,9.03
121,122,TOPCon电池,BK1097,687.67,6.5,0.95,636549408000,2.07,25,16,永和智控,10.13
122,123,转债标的,BK0528,8324.93,78.67,0.95,7883759616000,1.15,373,146,奇正藏药,9.99
123,124,新型工业化,BK1150,905.81,8.5,0.95,1444197664000,1.87,53,32,泰尔股份,9.92
124,125,特高压,BK0918,1560.16,14.64,0.95,1133352304000,1.25,64,17,创元科技,8.57
125,126,尾气治理,BK0932,1195.67,11.15,0.94,216526017000,1.72,24,8,仕净科技,6.95
126,127,阿兹海默,BK0894,1563.94,14.58,0.94,138394532000,2.46,10,2,睿智医药,13.34
127,128,QFII重仓,BK0535,15048.36,140.14,0.94,3314258608000,1.53,179,85,泰尔股份,9.92
128,129,超级真菌,BK0862,998.95,9.29,0.94,539985904000,1.4,17,4,普利制药,5.0
129,130,工业4.0,BK0810,1835.22,16.97,0.93,2551419344000,1.49,87,39,飞沃科技,19.98
130,131,壳资源,BK0820,812.17,7.49,0.93,223665406000,2.3,45,27,东晶电子,10.04
131,132,医疗美容,BK0889,1438.66,13.26,0.93,1014509024000,1.27,52,14,锦波生物,8.96
132,133,社保重仓,BK0520,9471.06,85.57,0.91,457488880000,1.16,26,7,凌霄泵业,5.74
133,134,证金持股,BK0718,1258.16,11.21,0.9,37429675008000,0.54,173,57,海通证券,10.03
134,135,西部大开发,BK0590,2333.26,20.56,0.89,10809410304000,1.47,416,172,奇正藏药,9.99
135,136,创新药,BK1106,1072.95,9.33,0.88,1570166784000,1.32,55,26,泓博医药,18.26
136,137,智能电视,BK0656,915.77,7.95,0.88,233793411000,1.87,11,3,锦富技术,5.74
137,138,液冷概念,BK1138,835.53,7.2,0.87,808862496000,2.47,38,18,领益智造,8.9
138,139,油气设服,BK0606,1399.62,12.03,0.87,2097930096000,0.89,48,14,天海防务,7.51
139,140,碳交易,BK0966,1328.45,11.36,0.86,2603086672000,0.99,104,29,华盛昌,9.99
140,141,石墨烯,BK0617,1663.7,14.17,0.86,796716176000,1.51,48,19,西藏城投,7.37
141,142,商业航天,BK0963,1279.03,10.79,0.85,1327380080000,2.32,91,46,飞沃科技,19.98
142,143,生物质能发电,BK1098,860.56,7.21,0.84,196170889000,1.68,21,4,中兰环保,4.11
143,144,共享经济,BK0807,720.08,6.03,0.84,209698006000,1.82,13,5,纳川股份,4.76
144,145,高带宽内存,BK1152,784.87,6.57,0.84,124078151000,3.02,7,5,德邦科技,12.05
145,146,氢能源,BK0864,947.04,7.81,0.83,4615559424000,0.94,185,54,德迈仕,9.09
146,147,降解塑料,BK0909,1370.46,11.3,0.83,640629072000,0.88,47,18,三维股份,5.19
147,148,装配建筑,BK0945,806.82,6.64,0.83,1416820768000,0.9,67,21,中铁装配,7.07
148,149,养老金,BK0823,1232.51,10.05,0.82,2772930240000,1.21,134,51,神农集团,10.0
149,150,上证180_,BK0612,1468.04,11.79,0.81,41591924480000,0.44,127,51,海通证券,10.03
150,151,2025规划,BK0713,845.23,6.73,0.8,3959778528000,1.07,57,24,鼎汉技术,11.25
151,152,盲盒经济,BK0954,900.99,7.14,0.8,95929884000,2.18,7,4,沐邦高科,7.49
152,153,超级电容,BK0703,3047.98,24.11,0.8,601703936000,1.34,21,13,泰尔股份,9.92
153,154,养老概念,BK0653,2204.83,17.06,0.78,3025034768000,1.87,81,32,云南城投,10.0
154,155,化工原料,BK0512,19104.04,146.83,0.77,1158819120000,1.03,47,18,兴发集团,4.03
155,156,太阳能,BK0588,2729.51,20.82,0.77,7536912896000,1.16,279,109,兆新股份,10.2
156,157,广电,BK0904,1236.29,9.41,0.77,225926472000,1.55,17,11,ST路通,4.61
157,158,数据要素,BK1135,936.14,7.08,0.76,1476768304000,4.15,68,44,华是科技,19.98
158,159,大飞机,BK0814,1197.7,8.95,0.75,1643685824000,1.26,69,28,飞沃科技,19.98
159,160,智能电网,BK0581,1414.78,10.57,0.75,1833450192000,2.17,118,51,红相股份,20.0
160,161,3D打印,BK0619,4305.86,31.78,0.74,513347744000,2.33,43,20,泰尔股份,9.92
161,162,量子通信,BK0710,1962.67,14.47,0.74,1206241856000,1.94,35,17,国民技术,19.8
162,163,页岩气,BK0603,1663.67,12.24,0.74,2804126928000,0.4,30,8,天富能源,5.38
163,164,国企改革,BK0683,3743.23,27.46,0.74,37002031616000,1.11,939,381,贵绳股份,9.97
164,165,昨日涨停,BK0815,116.33,0.85,0.74,388994384000,0.45,23,21,泰尔股份,9.92
165,166,MicroLED,BK0948,884.61,6.42,0.73,438971824000,1.32,13,7,新相微,5.02
166,167,小金属概念,BK0695,2099.17,15.23,0.73,2719696016000,1.05,84,24,寒锐钴业,8.85
167,168,智能机器,BK0640,3727.07,26.57,0.72,3240603168000,1.84,113,57,泰尔股份,9.92
168,169,跨境电商,BK1115,1047.42,7.44,0.72,1083038928000,1.71,84,35,瑞贝卡,10.16
169,170,维生素,BK0895,1601.81,11.19,0.7,434355216000,1.23,24,6,新赣江,3.51
170,171,央企改革,BK1140,1037.99,7.17,0.7,34161301760000,0.55,317,128,中粮资本,10.01
171,172,婴童概念,BK0664,1231.78,8.5,0.69,1148914976000,1.82,98,38,睿智医药,13.34
172,173,充电桩,BK0700,1960.19,13.47,0.69,3872484464000,1.52,159,59,摩恩电气,9.97
173,174,铜缆高速连接,BK1168,1108.31,7.59,0.69,501368608000,2.6,20,8,奥飞数据,7.26
174,175,钠离子电池,BK0988,1113.99,7.61,0.69,1881208960000,1.09,37,12,*ST开元,4.78
175,176,茅指数,BK0999,736.95,4.91,0.67,13357772800000,1.57,30,12,金山办公,4.72
176,177,MLCC,BK0890,1772.77,11.69,0.66,181679313000,1.37,10,2,达利凯普,2.97
177,178,专精特新,BK1005,916.27,6.0,0.66,4027741936000,2.56,475,261,华是科技,19.98
178,179,钒电池,BK1095,967.84,6.33,0.66,429268656000,1.28,14,7,西子洁能,6.33
179,180,碳纤维,BK1171,1032.45,6.75,0.66,309240288000,1.32,24,10,双一科技,10.89
180,181,土地流转,BK0632,1399.86,9.15,0.66,406841824000,1.45,30,16,神农种业,10.11
181,182,HS300_,BK0500,10348.85,66.63,0.65,56997967616000,0.54,200,99,海通证券,10.03
182,183,滨海新区,BK0566,8743.66,56.08,0.65,211058442000,1.75,13,9,津投城开,8.47
183,184,破净股,BK1112,1113.1,7.12,0.64,19129644800000,0.68,337,125,海通证券,10.03
184,185,特斯拉,BK0644,4224.84,26.94,0.64,4311234304000,2.15,132,68,天龙股份,9.99
185,186,医疗器械概念,BK0668,3168.34,20.14,0.64,4610608640000,1.78,207,89,宏德股份,20.0
186,187,代糖概念,BK0938,835.57,5.28,0.64,127379490000,1.08,12,2,晨光生物,3.01
187,188,垃圾分类,BK0873,1189.7,7.49,0.63,748636304000,1.49,80,19,玉禾田,9.03
188,189,健康中国,BK0719,1037.99,6.51,0.63,1504782480000,1.6,78,22,乐心医疗,8.28
189,190,世界杯,BK1105,1401.87,8.77,0.63,2553016448000,1.5,13,6,巨力索具,3.3
190,191,发电机概念,BK1014,921.32,5.74,0.63,90110889000,2.22,11,9,众智科技,9.13
191,192,飞行汽车(eVTOL),BK1157,1368.21,8.51,0.63,574008864000,1.81,34,19,双一科技,10.89
192,193,MiniLED,BK0902,1487.82,9.19,0.62,836584784000,1.47,40,19,南极光,5.87
193,194,单抗概念,BK0870,1483.71,9.1,0.62,1498935248000,1.08,34,13,舒泰神,4.25
194,195,新能源车,BK0900,1483.81,9.08,0.62,10509530368000,1.78,389,185,天龙股份,9.99
195,196,毛发医疗,BK0996,773.95,4.7,0.61,91608561000,1.43,12,3,振东制药,2.96
196,197,娃哈哈概念,BK1165,949.56,5.75,0.61,88642370000,1.52,16,4,宁波色母,4.21
197,198,消毒剂,BK0913,1080.51,6.5,0.61,505216336000,1.19,38,20,兴发集团,4.03
198,199,抖音小店,BK0928,829.99,4.88,0.59,160913741000,1.44,15,8,斯莱克,8.88
199,200,SPD概念,BK1147,840.59,4.93,0.59,68366394000,2.4,10,1,华人健康,2.98
200,201,裸眼3D,BK1142,901.36,5.28,0.59,282079408000,1.21,16,6,联建光电,4.85
201,202,精准医疗,BK0806,932.84,5.4,0.58,628962784000,1.72,33,9,ST峡创,7.23
202,203,无线充电,BK0960,2085.7,12.05,0.58,2034926368000,2.14,27,15,领益智造,8.9
203,204,黄金概念,BK0547,10823.59,62.21,0.58,1602502688000,1.01,39,15,洛阳钼业,3.28
204,205,机构重仓,BK0552,12111.01,68.68,0.57,43588429056000,0.81,689,326,泰尔股份,9.92
205,206,eSIM,BK0956,1260.22,7.13,0.57,294336096000,1.14,6,4,澄天伟业,6.9
206,207,刀片电池,BK0951,1943.04,10.9,0.56,1045426320000,2.46,9,3,天齐锂业,3.39
207,208,军工,BK0490,51167.12,285.97,0.56,5387205632000,1.79,323,163,泰尔股份,9.92
208,209,电子烟,BK0865,1510.16,8.35,0.56,917052448000,1.78,39,11,立讯精密,4.56
209,210,混合现实,BK1141,1116.19,6.15,0.55,937845648000,1.59,14,14,领益智造,8.9
210,211,环氧丙烷,BK1011,500.69,2.74,0.55,367922032000,0.73,9,5,红 宝 丽,3.31
211,212,数据中心,BK0922,1308.27,7.07,0.54,5494581248000,2.57,123,70,天亿马,19.99
212,213,疫苗冷链,BK0941,1098.99,5.93,0.54,502621984000,1.35,24,4,晶雪节能,3.8
213,214,锂电池,BK0574,2515.49,13.28,0.53,7362634240000,1.62,238,134,泰尔股份,9.92
214,215,苹果概念,BK0666,2578.21,13.61,0.53,2586489776000,1.63,82,45,德邦科技,12.05
215,216,融资融券,BK0596,2055.71,10.84,0.53,90018938880000,1.18,2338,1217,深水海纳,20.02
216,217,EDR概念,BK1049,1211.25,6.32,0.52,210268487000,5.13,7,7,国民技术,19.8
217,218,地摊经济,BK0924,1445.85,7.54,0.52,478291456000,1.55,25,9,江铃汽车,4.92
218,219,同步磁阻电机,BK1131,1025.07,5.34,0.52,39442116000,1.39,4,2,佳电股份,0.95
219,220,机器人概念,BK1090,1211.77,6.27,0.52,4727810048000,2.47,249,135,泰尔股份,9.92
220,221,东数西算,BK1064,1147.63,5.92,0.52,783890864000,3.97,33,22,海量数据,9.99
221,222,稀土永磁,BK0578,1850.23,9.49,0.52,837480288000,1.12,38,17,惠城环保,9.3
222,223,互联医疗,BK0837,881.19,4.44,0.51,5045611520000,1.93,74,28,宜通世纪,9.16
223,224,肝素概念,BK0944,832.93,4.17,0.5,211354378000,1.09,10,3,常山药业,3.55
224,225,低空经济,BK1166,1128.07,5.5,0.49,2513722736000,2.05,131,70,双一科技,10.89
225,226,数字水印,BK1129,827.29,3.97,0.48,91947812000,4.65,11,5,东方国信,9.09
226,227,激光雷达,BK1002,1241.58,5.83,0.47,326329840000,3.36,19,12,德迈仕,9.09
227,228,燃料电池,BK0682,2673.0,12.53,0.47,2337721536000,1.35,96,45,珂玛科技,7.93
228,229,HIT电池,BK0908,2169.79,10.02,0.46,649987616000,1.45,23,16,山煤国际,6.44
229,230,智慧城市,BK0628,4092.19,18.84,0.46,2176503536000,2.96,126,80,天亿马,19.99
230,231,航母概念,BK0715,795.22,3.65,0.46,1203339280000,0.84,24,12,中国动力,4.79
231,232,深股通,BK0804,897.28,4.07,0.46,28914031872000,1.99,959,457,奇正藏药,9.99
232,233,MSCI中国,BK0821,1164.63,5.26,0.45,62441813504000,0.8,359,197,海通证券,10.03
233,234,京津冀,BK0684,1415.39,6.35,0.45,545751728000,2.0,33,20,常山北明,10.03
234,235,无人机,BK0704,1669.64,7.49,0.45,2222581808000,2.14,94,51,中环海陆,11.45
235,236,股权激励,BK0567,2469.93,10.99,0.45,4334414592000,1.73,132,68,国泰君安,10.0
236,237,数字孪生,BK0861,1177.06,5.22,0.45,893561840000,2.27,50,26,东方国信,9.09
237,238,PCB,BK0877,1469.16,6.42,0.44,903142272000,2.24,49,34,宏达新材,9.94
238,239,参股银行,BK0525,9074.69,39.63,0.44,11175192576000,0.94,148,72,瑞贝卡,10.16
239,240,粤港自贸,BK0677,2558.59,11.03,0.43,1015606640000,1.54,49,17,深振业Ａ,7.89
240,241,被动元件,BK0976,1184.06,5.06,0.43,367359200000,2.07,14,11,东晶电子,10.04
241,242,智能家居,BK0680,2148.37,9.08,0.42,3432412160000,1.9,106,47,宜通世纪,9.16
242,243,军民融合,BK0808,1330.35,5.53,0.42,2695865136000,1.99,112,65,红相股份,20.0
243,244,标准普尔,BK0879,1344.74,5.58,0.42,56825850880000,0.91,678,355,海通证券,10.03
244,245,京东金融,BK0849,1268.0,5.12,0.41,226590313000,1.18,7,4,ST峡创,7.23
245,246,工业互联,BK0832,1694.18,6.76,0.4,4082690176000,2.35,112,71,泰尔股份,9.92
246,247,电子竞技,BK0853,1016.7,3.98,0.39,2945269408000,1.26,24,11,雷神科技,3.34
247,248,预盈预增,BK0571,3720.91,14.37,0.39,10943591424000,1.61,514,313,宏达新材,9.94
248,249,拼多多概念,BK0957,834.08,3.18,0.38,97434353000,2.12,17,6,友邦吊顶,10.04
249,250,上证380,BK0705,2216.17,8.36,0.38,8592862208000,0.83,237,138,国联证券,10.03
250,251,雄安新区,BK0813,772.85,2.88,0.37,2567493376000,1.64,105,55,海量数据,9.99
251,252,新材料,BK0523,21487.07,78.89,0.37,3810836080000,1.54,219,116,深圳新星,10.01
252,253,5G概念,BK0714,1024.0,3.75,0.37,7713565696000,2.35,190,121,摩恩电气,9.97
253,254,华为汽车,BK0984,1565.89,5.73,0.37,1384294160000,2.36,65,31,东箭科技,17.12
254,255,氦气概念,BK0949,1354.03,4.88,0.36,95770523000,1.59,6,5,杭氧股份,4.74
255,256,北交所概念,BK0925,1573.65,5.4,0.34,369569072000,1.51,18,9,鼎汉技术,11.25
256,257,富时罗素,BK0867,1396.28,4.76,0.34,61990273024000,1.07,825,446,海通证券,10.03
257,258,纾困概念,BK0851,1420.26,4.84,0.34,397705680000,2.92,33,16,深圳新星,10.01
258,259,氟化工,BK0690,2863.81,9.75,0.34,534820288000,0.99,18,12,深圳新星,10.01
259,260,固态电池,BK0968,1350.04,4.49,0.33,4466726912000,1.52,97,56,盟固利,8.98
260,261,IPO受益,BK0697,2827.88,9.39,0.33,2347808704000,1.48,35,21,南京化纤,10.0
261,262,生物疫苗,BK0548,24394.24,80.9,0.33,1119713664000,1.35,47,25,金雷股份,5.98
262,263,深圳特区,BK0549,26567.13,86.57,0.33,9291692032000,1.9,217,118,深水海纳,20.02
263,264,供销社概念,BK1109,868.05,2.75,0.32,106830139000,1.29,11,3,敦煌种业,2.46
264,265,空间站概念,BK0994,1387.06,4.39,0.32,181402362000,2.21,14,6,泰林生物,4.48
265,266,AI语料,BK1172,769.97,2.38,0.31,281801600000,2.35,15,8,中国科传,3.8
266,267,知识产权,BK0839,1581.95,4.83,0.31,333808624000,2.53,27,13,华盛昌,9.99
267,268,基金重仓,BK0536,10159.54,30.74,0.3,19915809024000,1.5,354,203,兴通股份,10.03
268,269,锂矿概念,BK1173,1112.19,3.3,0.3,2426487936000,1.22,21,16,西藏城投,7.37
269,270,长江三角,BK0594,2043.01,5.91,0.29,7890136576000,1.35,263,134,海通证券,10.03
270,271,轮毂电机,BK1099,859.72,2.48,0.29,54168307000,1.75,5,3,威孚高科,1.95
